Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:57:49.370, -0.0002990085, -0.0002990085,-0.002111,-0.08600398
02/07/2020 10:57:49.373, -0.0006730878, -0.0006730878,-0.004752,0.003707747
02/07/2020 10:57:49.376, -0.001224788, -0.001224788,-0.008647,-0.0930787
02/07/2020 10:57:49.388, -0.001750991, -0.001750991,-0.012362,-0.06408682
02/07/2020 10:57:49.399, -0.00157238, -0.00157238,-0.011101,0.0930787
02/07/2020 10:57:49.410, 0.0001106232, 0.0001106232,0.000781,-0.02563479
02/07/2020 10:57:49.421, 0.005411048, 0.005411048,0.038202,-0.125249
02/07/2020 10:57:49.432, 0.01636855, 0.01636855,0.115562,0.003269741
02/07/2020 10:57:49.443, 0.03464221, 0.03464221,0.244574,-0.1170769
02/07/2020 10:57:49.455, 0.06134759, 0.06134759,0.433114,-0.2256121
02/07/2020 10:57:49.466, 0.09621813, 0.09621813,0.6793,-0.01907349
02/07/2020 10:57:49.477, 0.1380552, 0.1380552,0.9746699,0.2741133
02/07/2020 10:57:49.488, 0.1856035, 0.1856035,1.310361,0.05215725
02/07/2020 10:57:49.499, 0.2376564, 0.2376564,1.677854,0.4201617
02/07/2020 10:57:49.511, 0.2937195, 0.2937195,2.07366,0.5455018
02/07/2020 10:57:49.521, 0.35405, 0.35405,2.499593,0.6630629
02/07/2020 10:57:49.532, 0.4190863, 0.4190863,2.958749,0.7424118
02/07/2020 10:57:49.543, 0.4895514, 0.4895514,3.456233,1.247406
02/07/2020 10:57:49.554, 0.564701, 0.564701,3.986789,1.597268
02/07/2020 10:57:49.566, 0.6453864, 0.6453864,4.556428,1.832717
02/07/2020 10:57:49.577, 0.7311898, 0.7311898,5.1622,2.205985
02/07/2020 10:57:49.588, 0.8218287, 0.8218287,5.80211,2.501897
02/07/2020 10:57:49.599, 0.9168755, 0.9168755,6.473141,3.397435
02/07/2020 10:57:49.610, 1.015701, 1.015701,7.170849,3.99003
02/07/2020 10:57:49.621, 1.117796, 1.117796,7.891637,4.952741
02/07/2020 10:57:49.632, 1.222578, 1.222578,8.631403,5.553638
02/07/2020 10:57:49.643, 1.329338, 1.329338,9.385128,6.328783
02/07/2020 10:57:49.654, 1.437474, 1.437474,10.14857,6.556921
02/07/2020 10:57:49.665, 1.546354, 1.546354,10.91726,6.907328
02/07/2020 10:57:49.677, 1.655342, 1.655342,11.68671,7.344352
02/07/2020 10:57:49.687, 1.763876, 1.763876,12.45296,7.988522
02/07/2020 10:57:49.699, 1.871379, 1.871379,13.21194,8.57217
02/07/2020 10:57:49.710, 1.977397, 1.977397,13.96042,9.494285
02/07/2020 10:57:49.721, 2.081501, 2.081501,14.6954,10.25389
02/07/2020 10:57:49.732, 2.183209, 2.183209,15.41346,10.70338
02/07/2020 10:57:49.743, 2.282278, 2.282278,16.11288,11.20322
02/07/2020 10:57:49.754, 2.37842, 2.37842,16.79165,11.82066
02/07/2020 10:57:49.765, 2.471245, 2.471245,17.44699,12.51275
02/07/2020 10:57:49.776, 2.560674, 2.560674,18.07836,13.25934
02/07/2020 10:57:49.787, 2.646542, 2.646542,18.68459,13.99395
02/07/2020 10:57:49.799, 2.728552, 2.728552,19.26358,14.7811
02/07/2020 10:57:49.810, 2.806714, 2.806714,19.8154,15.69878
02/07/2020 10:57:49.821, 2.880957, 2.880957,20.33955,15.91018
02/07/2020 10:57:49.832, 2.951048, 2.951048,20.8344,16.26925
02/07/2020 10:57:49.844, 3.017046, 3.017046,21.30034,16.53889
02/07/2020 10:57:49.854, 3.078952, 3.078952,21.7374,17.42599
02/07/2020 10:57:49.865, 3.136614, 3.136614,22.1445,17.26594
02/07/2020 10:57:49.877, 3.190099, 3.190099,22.52209,17.8594
02/07/2020 10:57:49.888, 3.239464, 3.239464,22.87062,18.0647
02/07/2020 10:57:49.899, 3.284613, 3.284613,23.18937,18.87474
02/07/2020 10:57:49.910, 3.325622, 3.325622,23.47889,18.85831
02/07/2020 10:57:49.921, 3.362609, 3.362609,23.74002,19.32362
02/07/2020 10:57:49.932, 3.395532, 3.395532,23.97246,19.32362
02/07/2020 10:57:49.943, 3.424474, 3.424474,24.17678,19.56904
02/07/2020 10:57:49.954, 3.449602, 3.449602,24.35419,19.51499
02/07/2020 10:57:49.965, 3.470937, 3.470937,24.50481,19.73171
02/07/2020 10:57:49.976, 3.488587, 3.488587,24.62942,20.30627
02/07/2020 10:57:49.988, 3.502789, 3.502789,24.72969,20.63869
02/07/2020 10:57:49.999, 3.513647, 3.513647,24.80635,20.70157
02/07/2020 10:57:50.010, 3.521313, 3.521313,24.86047,21.04887
02/07/2020 10:57:50.021, 3.526099, 3.526099,24.89426,21.21035
02/07/2020 10:57:50.032, 3.528218, 3.528218,24.90922,21.26412
02/07/2020 10:57:50.045, 3.527901, 3.527901,24.90698,21.00728
02/07/2020 10:57:50.058, 3.525513, 3.525513,24.89013,20.61301
02/07/2020 10:57:50.070, 3.521336, 3.521336,24.86063,20.22452
02/07/2020 10:57:50.082, 3.515643, 3.515643,24.82044,19.97581
02/07/2020 10:57:50.093, 3.508779, 3.508779,24.77198,20.13043
02/07/2020 10:57:50.104, 3.501006, 3.501006,24.7171,20.31849
02/07/2020 10:57:50.115, 3.492547, 3.492547,24.65738,21.69009
02/07/2020 10:57:50.126, 3.483622, 3.483622,24.59437,22.56384
02/07/2020 10:57:50.137, 3.474359, 3.474359,24.52898,22.90611
02/07/2020 10:57:50.148, 3.464814, 3.464814,24.46159,22.5984
02/07/2020 10:57:50.160, 3.455009, 3.455009,24.39236,22.55682
02/07/2020 10:57:50.171, 3.444878, 3.444878,24.32084,22.46444
02/07/2020 10:57:50.182, 3.434269, 3.434269,24.24594,22.28678
02/07/2020 10:57:50.194, 3.423017, 3.423017,24.1665,21.65915
02/07/2020 10:57:50.204, 3.410907, 3.410907,24.081,22.09487
02/07/2020 10:57:50.216, 3.397647, 3.397647,23.98738,21.54963
02/07/2020 10:57:50.227, 3.383007, 3.383007,23.88403,21.88012
02/07/2020 10:57:50.238, 3.366761, 3.366761,23.76933,21.48266
02/07/2020 10:57:50.249, 3.34865, 3.34865,23.64147,22.1881
