World Timestamp, Recording Timestamp, Sent Voltage, Velocity
03/02/2020 09:10:04.333,5.304,-0.0002990085,-0.002111
03/02/2020 09:10:04.393,5.363,-0.0006730878,-0.004752
03/02/2020 09:10:04.399,5.37,-0.001224788,-0.008647
03/02/2020 09:10:04.405,5.376,-0.001750991,-0.012362
03/02/2020 09:10:04.417,5.387,-0.00157238,-0.011101
03/02/2020 09:10:04.428,5.399,0.0001106232,0.000781
03/02/2020 09:10:04.439,5.41,0.005411048,0.038202
03/02/2020 09:10:04.450,5.421,0.01636855,0.115562
03/02/2020 09:10:04.461,5.432,0.03464221,0.244574
03/02/2020 09:10:04.472,5.443,0.06134759,0.433114
03/02/2020 09:10:04.483,5.454,0.09621813,0.6793
03/02/2020 09:10:04.495,5.465,0.1380552,0.9746699
03/02/2020 09:10:04.505,5.476,0.1856035,1.310361
03/02/2020 09:10:04.517,5.488,0.2376564,1.677854
03/02/2020 09:10:04.528,5.499,0.2937195,2.07366
03/02/2020 09:10:04.540,5.51,0.35405,2.499593
03/02/2020 09:10:04.551,5.521,0.4190863,2.958749
03/02/2020 09:10:04.562,5.532,0.4895514,3.456233
03/02/2020 09:10:04.573,5.543,0.564701,3.986789
03/02/2020 09:10:04.584,5.554,0.6453864,4.556428
03/02/2020 09:10:04.595,5.565,0.7311898,5.1622
03/02/2020 09:10:04.606,5.576,0.8218287,5.80211
03/02/2020 09:10:04.617,5.588,0.9168755,6.473141
03/02/2020 09:10:04.628,5.598,1.015701,7.170849
03/02/2020 09:10:04.639,5.609,1.117796,7.891637
03/02/2020 09:10:04.650,5.62,1.222578,8.631403
03/02/2020 09:10:04.661,5.632,1.329338,9.385128
03/02/2020 09:10:04.673,5.643,1.437474,10.14857
03/02/2020 09:10:04.683,5.654,1.546354,10.91726
03/02/2020 09:10:04.695,5.665,1.655342,11.68671
03/02/2020 09:10:04.706,5.676,1.763876,12.45296
03/02/2020 09:10:04.717,5.687,1.871379,13.21194
03/02/2020 09:10:04.728,5.698,1.977397,13.96042
03/02/2020 09:10:04.739,5.709,2.081501,14.6954
03/02/2020 09:10:04.750,5.721,2.183209,15.41346
03/02/2020 09:10:04.761,5.732,2.282278,16.11288
03/02/2020 09:10:04.772,5.743,2.37842,16.79165
03/02/2020 09:10:04.783,5.754,2.471245,17.44699
03/02/2020 09:10:04.794,5.765,2.560674,18.07836
03/02/2020 09:10:04.806,5.776,2.646542,18.68459
03/02/2020 09:10:04.816,5.787,2.728552,19.26358
03/02/2020 09:10:04.828,5.799,2.806714,19.8154
03/02/2020 09:10:04.839,5.81,2.880957,20.33955
03/02/2020 09:10:04.850,5.821,2.951048,20.8344
03/02/2020 09:10:04.861,5.832,3.017046,21.30034
03/02/2020 09:10:04.872,5.843,3.078952,21.7374
03/02/2020 09:10:04.883,5.854,3.136614,22.1445
03/02/2020 09:10:04.895,5.865,3.190099,22.52209
03/02/2020 09:10:04.906,5.876,3.239464,22.87062
03/02/2020 09:10:04.917,5.887,3.284613,23.18937
03/02/2020 09:10:04.928,5.899,3.325622,23.47889
03/02/2020 09:10:04.939,5.909,3.362609,23.74002
03/02/2020 09:10:04.950,5.92,3.395532,23.97246
03/02/2020 09:10:04.961,5.932,3.424474,24.17678
03/02/2020 09:10:04.972,5.943,3.449602,24.35419
03/02/2020 09:10:04.983,5.954,3.470937,24.50481
03/02/2020 09:10:04.994,5.965,3.488587,24.62942
03/02/2020 09:10:05.006,5.976,3.502789,24.72969
03/02/2020 09:10:05.017,5.987,3.513647,24.80635
03/02/2020 09:10:05.028,5.998,3.521313,24.86047
03/02/2020 09:10:05.039,6.009,3.526099,24.89426
03/02/2020 09:10:05.051,6.021,3.528218,24.90922
03/02/2020 09:10:05.063,6.034,3.527901,24.90698
03/02/2020 09:10:05.076,6.046,3.525513,24.89013
03/02/2020 09:10:05.089,6.059,3.521336,24.86063
03/02/2020 09:10:05.099,6.07,3.515643,24.82044
03/02/2020 09:10:05.111,6.081,3.508779,24.77198
03/02/2020 09:10:05.122,6.092,3.501006,24.7171
03/02/2020 09:10:05.133,6.103,3.492547,24.65738
03/02/2020 09:10:05.144,6.114,3.483622,24.59437
03/02/2020 09:10:05.155,6.125,3.474359,24.52898
03/02/2020 09:10:05.166,6.136,3.464814,24.46159
03/02/2020 09:10:05.177,6.148,3.455009,24.39236
03/02/2020 09:10:05.188,6.159,3.444878,24.32084
03/02/2020 09:10:05.199,6.17,3.434269,24.24594
03/02/2020 09:10:05.210,6.181,3.423017,24.1665
03/02/2020 09:10:05.222,6.192,3.410907,24.081
03/02/2020 09:10:05.233,6.203,3.397647,23.98738
03/02/2020 09:10:05.244,6.214,3.383007,23.88403
03/02/2020 09:10:05.255,6.225,3.366761,23.76933
03/02/2020 09:10:05.266,6.236,3.34865,23.64147
03/02/2020 09:10:05.277,6.247,3.328551,23.49957
03/02/2020 09:10:05.288,6.259,3.306388,23.3431
03/02/2020 09:10:05.299,6.27,3.282069,23.17141
03/02/2020 09:10:05.310,6.281,3.255701,22.98525
03/02/2020 09:10:05.321,6.292,3.227461,22.78587
03/02/2020 09:10:05.333,6.303,3.197524,22.57452
03/02/2020 09:10:05.344,6.314,3.166209,22.35343
03/02/2020 09:10:05.355,6.325,3.133884,22.12522
03/02/2020 09:10:05.366,6.336,3.100912,21.89244
03/02/2020 09:10:05.377,6.348,3.06773,21.65817
03/02/2020 09:10:05.388,6.359,3.034778,21.42553
03/02/2020 09:10:05.399,6.37,3.002481,21.19751
03/02/2020 09:10:05.410,6.381,2.971255,20.97706
03/02/2020 09:10:05.421,6.392,2.941432,20.76651
03/02/2020 09:10:05.433,6.403,2.913325,20.56808
03/02/2020 09:10:05.444,6.414,2.887196,20.3836
03/02/2020 09:10:05.455,6.426,2.863131,20.2137
03/02/2020 09:10:05.466,6.436,2.841218,20.059
03/02/2020 09:10:05.477,6.447,2.821489,19.91971
03/02/2020 09:10:05.488,6.458,2.803745,19.79444
03/02/2020 09:10:05.499,6.469,2.787815,19.68198
03/02/2020 09:10:05.510,6.481,2.773422,19.58036
03/02/2020 09:10:05.521,6.492,2.760104,19.48634
03/02/2020 09:10:05.533,6.503,2.747398,19.39663
03/02/2020 09:10:05.544,6.514,2.734743,19.30729
03/02/2020 09:10:05.555,6.525,2.721504,19.21382
03/02/2020 09:10:05.566,6.536,2.707023,19.11159
03/02/2020 09:10:05.577,6.547,2.690479,18.99478
03/02/2020 09:10:05.588,6.558,2.671201,18.85868
03/02/2020 09:10:05.599,6.57,2.648467,18.69818
03/02/2020 09:10:05.610,6.581,2.621352,18.50674
03/02/2020 09:10:05.622,6.592,2.589246,18.28008
03/02/2020 09:10:05.632,6.603,2.551528,18.01379
03/02/2020 09:10:05.644,6.614,2.50736,17.70196
03/02/2020 09:10:05.655,6.625,2.4564,17.34218
03/02/2020 09:10:05.666,6.636,2.398325,16.93217
03/02/2020 09:10:05.677,6.647,2.332676,16.46869
03/02/2020 09:10:05.688,6.658,2.259502,15.95209
03/02/2020 09:10:05.699,6.669,2.178951,15.38339
03/02/2020 09:10:05.710,6.681,2.091053,14.76283
03/02/2020 09:10:05.721,6.692,1.996354,14.09426
03/02/2020 09:10:05.732,6.703,1.89554,13.38251
03/02/2020 09:10:05.743,6.714,1.789217,12.63187
03/02/2020 09:10:05.755,6.725,1.678367,11.84927
03/02/2020 09:10:05.766,6.736,1.564144,11.04286
03/02/2020 09:10:05.777,6.747,1.447608,10.22011
03/02/2020 09:10:05.788,6.758,1.330026,9.389983
