World Timestamp, Recording Timestamp, Sent Voltage, Velocity
03/02/2020 09:23:45.889,4.307,-0.0002990085,-0.002111
03/02/2020 09:23:45.946,4.365,-0.0006730878,-0.004752
03/02/2020 09:23:45.955,4.373,-0.001224788,-0.008647
03/02/2020 09:23:45.961,4.379,-0.001750991,-0.012362
03/02/2020 09:23:45.972,4.391,-0.00157238,-0.011101
03/02/2020 09:23:45.983,4.402,0.0001106232,0.000781
03/02/2020 09:23:45.995,4.413,0.005411048,0.038202
03/02/2020 09:23:46.006,4.424,0.01636855,0.115562
03/02/2020 09:23:46.017,4.435,0.03464221,0.244574
03/02/2020 09:23:46.028,4.446,0.06134759,0.433114
03/02/2020 09:23:46.039,4.457,0.09621813,0.6793
03/02/2020 09:23:46.050,4.469,0.1380552,0.9746699
03/02/2020 09:23:46.061,4.48,0.1856035,1.310361
03/02/2020 09:23:46.072,4.491,0.2376564,1.677854
03/02/2020 09:23:46.083,4.502,0.2937195,2.07366
03/02/2020 09:23:46.094,4.513,0.35405,2.499593
03/02/2020 09:23:46.106,4.524,0.4190863,2.958749
03/02/2020 09:23:46.117,4.535,0.4895514,3.456233
03/02/2020 09:23:46.128,4.546,0.564701,3.986789
03/02/2020 09:23:46.139,4.557,0.6453864,4.556428
03/02/2020 09:23:46.150,4.569,0.7311898,5.1622
03/02/2020 09:23:46.161,4.58,0.8218287,5.80211
03/02/2020 09:23:46.172,4.591,0.9168755,6.473141
03/02/2020 09:23:46.184,4.602,1.015701,7.170849
03/02/2020 09:23:46.195,4.613,1.117796,7.891637
03/02/2020 09:23:46.207,4.625,1.222578,8.631403
03/02/2020 09:23:46.217,4.635,1.329338,9.385128
03/02/2020 09:23:46.228,4.646,1.437474,10.14857
03/02/2020 09:23:46.239,4.657,1.546354,10.91726
03/02/2020 09:23:46.250,4.669,1.655342,11.68671
03/02/2020 09:23:46.261,4.68,1.763876,12.45296
03/02/2020 09:23:46.272,4.691,1.871379,13.21194
03/02/2020 09:23:46.283,4.702,1.977397,13.96042
03/02/2020 09:23:46.294,4.713,2.081501,14.6954
03/02/2020 09:23:46.305,4.724,2.183209,15.41346
03/02/2020 09:23:46.317,4.735,2.282278,16.11288
03/02/2020 09:23:46.328,4.746,2.37842,16.79165
03/02/2020 09:23:46.339,4.757,2.471245,17.44699
03/02/2020 09:23:46.350,4.768,2.560674,18.07836
03/02/2020 09:23:46.361,4.78,2.646542,18.68459
03/02/2020 09:23:46.373,4.791,2.728552,19.26358
03/02/2020 09:23:46.383,4.802,2.806714,19.8154
03/02/2020 09:23:46.394,4.813,2.880957,20.33955
03/02/2020 09:23:46.406,4.824,2.951048,20.8344
03/02/2020 09:23:46.417,4.835,3.017046,21.30034
03/02/2020 09:23:46.428,4.846,3.078952,21.7374
03/02/2020 09:23:46.439,4.857,3.136614,22.1445
03/02/2020 09:23:46.450,4.868,3.190099,22.52209
03/02/2020 09:23:46.461,4.879,3.239464,22.87062
03/02/2020 09:23:46.473,4.891,3.284613,23.18937
03/02/2020 09:23:46.483,4.901,3.325622,23.47889
03/02/2020 09:23:46.494,4.913,3.362609,23.74002
03/02/2020 09:23:46.506,4.924,3.395532,23.97246
03/02/2020 09:23:46.517,4.935,3.424474,24.17678
03/02/2020 09:23:46.528,4.946,3.449602,24.35419
03/02/2020 09:23:46.539,4.957,3.470937,24.50481
03/02/2020 09:23:46.550,4.968,3.488587,24.62942
03/02/2020 09:23:46.561,4.979,3.502789,24.72969
03/02/2020 09:23:46.572,4.99,3.513647,24.80635
03/02/2020 09:23:46.583,5.002,3.521313,24.86047
03/02/2020 09:23:46.594,5.013,3.526099,24.89426
03/02/2020 09:23:46.606,5.025,3.528218,24.90922
03/02/2020 09:23:46.619,5.037,3.527901,24.90698
03/02/2020 09:23:46.631,5.05,3.525513,24.89013
03/02/2020 09:23:46.644,5.062,3.521336,24.86063
03/02/2020 09:23:46.655,5.073,3.515643,24.82044
03/02/2020 09:23:46.666,5.084,3.508779,24.77198
03/02/2020 09:23:46.677,5.095,3.501006,24.7171
03/02/2020 09:23:46.688,5.106,3.492547,24.65738
03/02/2020 09:23:46.700,5.118,3.483622,24.59437
03/02/2020 09:23:46.711,5.129,3.474359,24.52898
03/02/2020 09:23:46.721,5.14,3.464814,24.46159
03/02/2020 09:23:46.733,5.151,3.455009,24.39236
03/02/2020 09:23:46.744,5.162,3.444878,24.32084
03/02/2020 09:23:46.755,5.173,3.434269,24.24594
03/02/2020 09:23:46.766,5.184,3.423017,24.1665
03/02/2020 09:23:46.777,5.195,3.410907,24.081
03/02/2020 09:23:46.788,5.206,3.397647,23.98738
03/02/2020 09:23:46.799,5.218,3.383007,23.88403
03/02/2020 09:23:46.810,5.229,3.366761,23.76933
03/02/2020 09:23:46.821,5.24,3.34865,23.64147
03/02/2020 09:23:46.833,5.251,3.328551,23.49957
03/02/2020 09:23:46.844,5.262,3.306388,23.3431
03/02/2020 09:23:46.855,5.273,3.282069,23.17141
03/02/2020 09:23:46.866,5.284,3.255701,22.98525
03/02/2020 09:23:46.877,5.295,3.227461,22.78587
03/02/2020 09:23:46.888,5.306,3.197524,22.57452
03/02/2020 09:23:46.899,5.318,3.166209,22.35343
03/02/2020 09:23:46.910,5.329,3.133884,22.12522
03/02/2020 09:23:46.921,5.34,3.100912,21.89244
03/02/2020 09:23:46.933,5.351,3.06773,21.65817
03/02/2020 09:23:46.944,5.362,3.034778,21.42553
03/02/2020 09:23:46.955,5.373,3.002481,21.19751
03/02/2020 09:23:46.966,5.384,2.971255,20.97706
03/02/2020 09:23:46.977,5.395,2.941432,20.76651
03/02/2020 09:23:46.988,5.406,2.913325,20.56808
03/02/2020 09:23:46.999,5.417,2.887196,20.3836
03/02/2020 09:23:47.010,5.428,2.863131,20.2137
03/02/2020 09:23:47.021,5.44,2.841218,20.059
03/02/2020 09:23:47.033,5.451,2.821489,19.91971
03/02/2020 09:23:47.044,5.462,2.803745,19.79444
03/02/2020 09:23:47.055,5.473,2.787815,19.68198
03/02/2020 09:23:47.066,5.484,2.773422,19.58036
03/02/2020 09:23:47.077,5.495,2.760104,19.48634
03/02/2020 09:23:47.090,5.508,2.747398,19.39663
03/02/2020 09:23:47.099,5.517,2.734743,19.30729
03/02/2020 09:23:47.110,5.529,2.721504,19.21382
03/02/2020 09:23:47.121,5.54,2.707023,19.11159
03/02/2020 09:23:47.132,5.551,2.690479,18.99478
03/02/2020 09:23:47.144,5.562,2.671201,18.85868
03/02/2020 09:23:47.154,5.573,2.648467,18.69818
03/02/2020 09:23:47.166,5.584,2.621352,18.50674
03/02/2020 09:23:47.177,5.595,2.589246,18.28008
03/02/2020 09:23:47.188,5.606,2.551528,18.01379
03/02/2020 09:23:47.200,5.618,2.50736,17.70196
03/02/2020 09:23:47.210,5.629,2.4564,17.34218
03/02/2020 09:23:47.221,5.64,2.398325,16.93217
03/02/2020 09:23:47.233,5.65,2.332676,16.46869
03/02/2020 09:23:47.243,5.662,2.259502,15.95209
03/02/2020 09:23:47.254,5.673,2.178951,15.38339
03/02/2020 09:23:47.266,5.684,2.091053,14.76283
03/02/2020 09:23:47.277,5.695,1.996354,14.09426
03/02/2020 09:23:47.288,5.706,1.89554,13.38251
03/02/2020 09:23:47.299,5.717,1.789217,12.63187
03/02/2020 09:23:47.310,5.728,1.678367,11.84927
03/02/2020 09:23:47.321,5.739,1.564144,11.04286
03/02/2020 09:23:47.333,5.751,1.447608,10.22011
03/02/2020 09:23:47.343,5.761,1.330026,9.389983
03/02/2020 09:23:47.355,5.774,1.212667,8.561427
03/02/2020 09:23:47.366,5.784,1.096804,7.743434
03/02/2020 09:23:47.377,5.795,0.9837139,6.94502
03/02/2020 09:23:47.388,5.806,0.8744572,6.173668
03/02/2020 09:23:47.399,5.817,0.7701317,5.43713
