Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-0.000753, 07/18/2019 02:07:22.195, -0.00531618, -2.192635E-05, -0.0001066572
-0.002111, 07/18/2019 02:07:22.445, -0.01490366, 0.0006157285, 0.00320518
-0.004752, 07/18/2019 02:07:22.448, -0.03354912, 0.001760508, 0.01015166
-0.008647, 07/18/2019 02:07:22.451, -0.06104782, 0.00425284, 0.02490212
-0.012362, 07/18/2019 02:07:22.453, -0.08727571, 0.008048295, 0.04868582
-0.011101, 07/18/2019 02:07:22.466, -0.07837306, 0.01207016, 0.07617471
0.000781, 07/18/2019 02:07:22.484, -0.01602173, 0.01111363, 0.07915406
0.038202, 07/18/2019 02:07:22.521, 0.03095627, 0.006937066, 0.05422373
0.115562, 07/18/2019 02:07:22.548, 0.05870819, 0.01655144, 0.08460573
0.244574, 07/18/2019 02:07:22.560, -0.04812241, 0.03564064, 0.1858658
0.433114, 07/18/2019 02:07:22.580, 0.04096985, 0.08908781, 0.4812364
0.6793, 07/18/2019 02:07:22.603, 0.04652023, 0.09920228, 0.6383302
0.9746699, 07/18/2019 02:07:22.622, 0.1174736, 0.1530191, 0.9281497
1.310361, 07/18/2019 02:07:22.642, 0.09635925, 0.1928736, 1.192887
1.677854, 07/18/2019 02:07:22.663, 0.1383591, 0.2648982, 1.581495
2.07366, 07/18/2019 02:07:22.681, 0.3763962, 0.3234138, 1.935301
2.499593, 07/18/2019 02:07:22.700, 0.4423141, 0.3569121, 2.123197
2.958749, 07/18/2019 02:07:22.717, 0.8195686, 0.4523125, 2.516435
3.456233, 07/18/2019 02:07:22.738, 1.389427, 0.4770944, 2.636664
3.986789, 07/18/2019 02:07:22.751, 1.953106, 0.4984962, 2.597362
4.556428, 07/18/2019 02:07:22.767, 2.319031, 0.5446637, 2.603322
5.1622, 07/18/2019 02:07:22.783, 3.056488, 0.6344449, 2.843169
5.80211, 07/18/2019 02:07:22.801, 3.53817, 0.6350737, 2.745622
6.473141, 07/18/2019 02:07:22.816, 3.899403, 0.7271522, 2.934971
7.170849, 07/18/2019 02:07:22.830, 4.012871, 0.823545, 3.271447
7.891637, 07/18/2019 02:07:22.856, 4.815445, 0.9660958, 3.878766
8.631403, 07/18/2019 02:07:22.867, 5.178165, 0.9531644, 3.815958
9.385128, 07/18/2019 02:07:22.879, 5.464897, 1.100085, 4.206963
10.14857, 07/18/2019 02:07:22.893, 6.160412, 1.225048, 4.683668
10.91726, 07/18/2019 02:07:22.909, 6.479588, 1.265938, 4.756845
11.68671, 07/18/2019 02:07:22.925, 7.01231, 1.426182, 5.207127
12.45296, 07/18/2019 02:07:22.939, 7.275467, 1.510958, 5.440654
13.21194, 07/18/2019 02:07:22.955, 7.71595, 1.675189, 5.936471
13.96042, 07/18/2019 02:07:22.970, 8.396702, 1.782193, 6.244473
14.6954, 07/18/2019 02:07:22.985, 8.635597, 1.860818, 6.298696
15.41346, 07/18/2019 02:07:23.000, 9.856167, 2.053236, 6.777858
16.11288, 07/18/2019 02:07:23.015, 11.04898, 2.00474, 6.256712
16.79165, 07/18/2019 02:07:23.029, 11.09407, 2.050312, 5.742662
17.44699, 07/18/2019 02:07:23.047, 13.79065, 2.318189, 6.352915
18.07836, 07/18/2019 02:07:23.059, 14.15503, 1.93235, 4.287712
18.68459, 07/18/2019 02:07:23.074, 15.27506, 2.257892, 4.529562
19.26358, 07/18/2019 02:07:23.091, 16.37438, 2.193754, 3.988518
19.8154, 07/18/2019 02:07:23.107, 16.97577, 2.198668, 3.441023
20.33955, 07/18/2019 02:07:23.124, 18.36971, 2.29227, 3.363789
20.8344, 07/18/2019 02:07:23.141, 17.78435, 2.168293, 2.464687
21.30034, 07/18/2019 02:07:23.155, 17.69022, 2.513935, 3.515997
21.7374, 07/18/2019 02:07:23.172, 18.56163, 2.572637, 4.04718
22.1445, 07/18/2019 02:07:23.188, 19.33794, 2.487497, 3.582867
22.52209, 07/18/2019 02:07:23.205, 19.98213, 2.508863, 3.184155
22.87062, 07/18/2019 02:07:23.224, 19.55549, 2.53851, 2.888489
23.18937, 07/18/2019 02:07:23.240, 20.76777, 2.767121, 3.633873
23.47889, 07/18/2019 02:07:23.256, 22.68654, 2.559625, 2.711128
23.74002, 07/18/2019 02:07:23.271, 21.96991, 2.354638, 1.053482
23.97246, 07/18/2019 02:07:23.288, 22.15353, 2.733457, 2.002546
24.17678, 07/18/2019 02:07:23.301, 21.47736, 2.673644, 2.023254
24.35419, 07/18/2019 02:07:23.318, 22.37314, 2.878957, 2.876837
24.50481, 07/18/2019 02:07:23.331, 21.81988, 2.685116, 2.13167
24.62942, 07/18/2019 02:07:23.353, 21.15709, 2.933218, 2.809546
24.72969, 07/18/2019 02:07:23.364, 21.80334, 3.066083, 3.572599
24.80635, 07/18/2019 02:07:23.380, 21.58281, 2.928439, 3.003006
24.86047, 07/18/2019 02:07:23.394, 22.71549, 3.089698, 3.277658
24.89426, 07/18/2019 02:07:23.410, 23.34097, 2.887819, 2.178766
24.90922, 07/18/2019 02:07:23.425, 22.64706, 2.907455, 1.568249
24.90698, 07/18/2019 02:07:23.440, 23.46497, 3.135931, 2.259922
24.89013, 07/18/2019 02:07:23.455, 24.8196, 2.930258, 1.425159
24.86063, 07/18/2019 02:07:23.470, 24.50575, 2.752342, 0.04103088
24.82044, 07/18/2019 02:07:23.485, 23.23517, 2.948769, 0.3146935
24.77198, 07/18/2019 02:07:23.499, 23.60447, 3.177389, 1.53681
24.7171, 07/18/2019 02:07:23.515, 24.64811, 2.991245, 1.112631
24.65738, 07/18/2019 02:07:23.529, 23.91174, 2.82473, 0.009267807
24.59437, 07/18/2019 02:07:23.544, 23.20553, 3.074523, 0.6826286
24.52898, 07/18/2019 02:07:23.558, 23.53586, 3.149157, 1.323448
24.46159, 07/18/2019 02:07:23.572, 24.65263, 3.023681, 0.9257278
24.39236, 07/18/2019 02:07:23.588, 23.06723, 2.834562, -0.2602692
24.32084, 07/18/2019 02:07:23.601, 22.11073, 3.261224, 1.253609
24.24594, 07/18/2019 02:07:23.616, 23.06517, 3.309642, 2.135212
24.1665, 07/18/2019 02:07:23.630, 22.66628, 3.041923, 1.10133
24.081, 07/18/2019 02:07:23.644, 23.40986, 3.22794, 1.414717
23.98738, 07/18/2019 02:07:23.657, 22.94838, 3.046563, 0.5775223
23.88403, 07/18/2019 02:07:23.674, 24.50357, 3.213688, 0.9356518
23.76933, 07/18/2019 02:07:23.688, 24.4986, 2.849058, -0.7342396
23.64147, 07/18/2019 02:07:23.702, 24.97536, 2.980536, -0.8571243
