Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-0.0001066572, 07/18/2019 12:27:42.487, -0.000753, -3.663083E-05, -0.0001066572
-0.0002990085, 07/18/2019 12:27:42.831, -0.002111, 0.0001035744, 0.0004539915
-0.0006730878, 07/18/2019 12:27:42.837, -0.004752, 0.0004771096, 0.001437912
-0.001224788, 07/18/2019 12:27:42.841, -0.008647, 0.001307464, 0.003527212
-0.001750991, 07/18/2019 12:27:42.909, -0.012362, 0.002741149, 0.006896009
-0.00157238, 07/18/2019 12:27:42.923, -0.011101, 0.004619341, 0.01078962
0.0001106232, 07/18/2019 12:27:42.936, 0.0003433228, 0.005610662, 0.01121162
0.005411048, 07/18/2019 12:27:42.954, 0.0248909, 0.004380064, 0.005067725
0.01636855, 07/18/2019 12:27:42.976, -0.03633499, 0.0001101649, -0.008522345
0.03464221, 07/18/2019 12:27:42.994, 0.1152992, 0.02674531, 0.0709772
0.06134759, 07/18/2019 12:27:43.007, 0.0302124, -0.01059304, -0.05395163
0.09621813, 07/18/2019 12:27:43.024, -0.007610321, 0.02637345, 0.06600573
0.1380552, 07/18/2019 12:27:43.042, 0.03770828, 0.05890995, 0.1456656
0.1856035, 07/18/2019 12:27:43.063, 0.05779266, 0.07110239, 0.1478953
0.2376564, 07/18/2019 12:27:43.081, 0.1605034, 0.09368333, 0.1798637
0.2937195, 07/18/2019 12:27:43.100, 0.2153206, 0.0917718, 0.1332161
0.35405, 07/18/2019 12:27:43.116, 0.2942848, 0.1041154, 0.1387294
0.4190863, 07/18/2019 12:27:43.138, 0.6425285, 0.1102144, 0.1248015
0.4895514, 07/18/2019 12:27:43.155, 0.9051132, 0.02460292, -0.1529771
0.564701, 07/18/2019 12:27:43.180, 1.733036, -0.05177082, -0.3404122
0.6453864, 07/18/2019 12:27:43.197, 2.26347, -0.3351088, -1.08765
0.7311898, 07/18/2019 12:27:43.216, 2.956238, -0.5731347, -1.53228
0.8218287, 07/18/2019 12:27:43.235, 3.726139, -0.9001315, -2.134409
0.9168755, 07/18/2019 12:27:43.260, 4.843597, -1.299339, -2.809263
