Voltage, Timestamp, X position, Y position, Z position, X rotation, Y rotation, Z rotation
0, 07/01/2019 03:08:37.730, -0.0433194, -0.2358357, 0.06412394, 293.9684, 134.7676, 341.4438
0, 07/01/2019 03:08:38.038, -0.04331787, -0.2358575, 0.06412489, 293.9767, 134.7603, 341.4507
0, 07/01/2019 03:08:38.040, -0.04332028, -0.235854, 0.06412432, 293.9838, 134.7757, 341.4375
0, 07/01/2019 03:08:38.044, -0.04330307, -0.2358641, 0.06411269, 294.0234, 134.8003, 341.3921
0, 07/01/2019 03:08:38.050, -0.0433112, -0.2358716, 0.06412123, 293.95, 134.7598, 341.4553
0, 07/01/2019 03:08:38.060, -0.04332037, -0.2358466, 0.06412826, 293.9792, 134.7812, 341.4297
0, 07/01/2019 03:08:38.073, -0.04331821, -0.2358421, 0.06412456, 293.981, 134.7726, 341.438
0, 07/01/2019 03:08:38.088, -0.04333444, -0.2358741, 0.06412881, 293.9567, 134.7007, 341.5
0, 07/01/2019 03:08:38.122, -0.04331936, -0.2358425, 0.06412444, 293.9842, 134.7803, 341.4309
0, 07/01/2019 03:08:38.135, -0.04332821, -0.2358885, 0.06412693, 293.9287, 134.6644, 341.5412
0, 07/01/2019 03:08:38.156, -0.04332219, -0.2358466, 0.06412536, 293.9742, 134.7635, 341.4479
0, 07/01/2019 03:08:38.176, -0.04332336, -0.2358491, 0.06412693, 293.9807, 134.7821, 341.43
0, 07/01/2019 03:08:38.196, -0.04333853, -0.2358666, 0.06412829, 293.9549, 134.6785, 341.5247
0, 07/01/2019 03:08:38.215, -0.04332087, -0.2358412, 0.06412367, 293.9722, 134.7741, 341.4366
0, 07/01/2019 03:08:38.235, -0.04331788, -0.2358314, 0.06412049, 293.9695, 134.7807, 341.428
0, 07/01/2019 03:08:38.254, -0.04332041, -0.2358414, 0.06412504, 293.9783, 134.7667, 341.4445
0, 07/01/2019 03:08:38.273, -0.04331657, -0.2358385, 0.06412189, 293.9762, 134.7827, 341.4301
0, 07/01/2019 03:08:38.291, -0.04331245, -0.2358599, 0.06411958, 293.9435, 134.7621, 341.452
0, 07/01/2019 03:08:38.322, -0.04333851, -0.2358624, 0.06412937, 293.9528, 134.6922, 341.5123
0, 07/01/2019 03:08:38.329, -0.0433201, -0.2358406, 0.06412547, 293.9714, 134.7867, 341.4258
0, 07/01/2019 03:08:38.345, -0.04332177, -0.2358401, 0.06412191, 293.9714, 134.7777, 341.4332
0, 07/01/2019 03:08:38.361, -0.04332332, -0.2358403, 0.06412251, 293.9724, 134.7737, 341.4374
0, 07/01/2019 03:08:38.380, -0.04332493, -0.2358405, 0.06412297, 293.9699, 134.7817, 341.4311
0, 07/01/2019 03:08:38.396, -0.04331714, -0.2358575, 0.06411926, 293.9458, 134.7745, 341.4402
0, 07/01/2019 03:08:38.414, -0.04332166, -0.2358367, 0.0641228, 293.9769, 134.7589, 341.4515
0, 07/01/2019 03:08:38.429, -0.04333571, -0.2358897, 0.06412828, 293.9259, 134.6846, 341.5197
0, 07/01/2019 03:08:38.446, -0.04332281, -0.2358395, 0.06412657, 293.9727, 134.7636, 341.4477
0, 07/01/2019 03:08:38.462, -0.04332511, -0.2358467, 0.06412533, 293.9811, 134.7595, 341.4505
0, 07/01/2019 03:08:38.480, -0.0433193, -0.2358431, 0.0641247, 293.9702, 134.7666, 341.445
0, 07/01/2019 03:08:38.497, -0.04332345, -0.2358366, 0.06412551, 293.9667, 134.7711, 341.4398
0, 07/01/2019 03:08:38.513, -0.04331861, -0.2358418, 0.06412342, 293.9805, 134.769, 341.445
0, 07/01/2019 03:08:38.529, -0.04332015, -0.2358495, 0.06412577, 293.9773, 134.77, 341.4421
0, 07/01/2019 03:08:38.545, -0.04330388, -0.2358729, 0.06411707, 294.0146, 134.7944, 341.4003
0, 07/01/2019 03:08:38.561, -0.04331644, -0.2358499, 0.06412642, 293.977, 134.7724, 341.439
0, 07/01/2019 03:08:38.577, -0.0433118, -0.2358507, 0.06412361, 293.9797, 134.7711, 341.4386
0, 07/01/2019 03:08:38.592, -0.04330786, -0.2358511, 0.06412089, 293.9865, 134.7644, 341.4471
0, 07/01/2019 03:08:38.609, -0.0433081, -0.2358458, 0.06411861, 293.9889, 134.772, 341.439
0, 07/01/2019 03:08:38.627, -0.04330172, -0.2358564, 0.0641303, 293.993, 134.7807, 341.4388
0, 07/01/2019 03:08:38.641, -0.04331125, -0.2358518, 0.06411927, 293.986, 134.774, 341.4375
0, 07/01/2019 03:08:38.659, -0.04331147, -0.2358472, 0.06411918, 293.9816, 134.7635, 341.4472
0, 07/01/2019 03:08:38.675, -0.0433141, -0.2358487, 0.06412124, 293.9671, 134.7674, 341.4438
0, 07/01/2019 03:08:38.693, -0.04331397, -0.235842, 0.0641195, 293.9717, 134.7724, 341.4399
0, 07/01/2019 03:08:38.708, -0.04333511, -0.2358672, 0.06412999, 293.9461, 134.6804, 341.5223
0, 07/01/2019 03:08:38.726, -0.04331704, -0.235846, 0.06412642, 293.9645, 134.7615, 341.4497
0, 07/01/2019 03:08:38.741, -0.04331348, -0.2358648, 0.06412279, 293.9482, 134.7569, 341.4565
0, 07/01/2019 03:08:38.758, -0.0433186, -0.2358473, 0.06412714, 293.9746, 134.7641, 341.4492
