Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:41:24.612, -0.0002990085, -0.0002990085,-0.002111,0.1370208
02/07/2020 10:41:24.615, -0.0006730878, -0.0006730878,-0.004752,0.1462261
02/07/2020 10:41:24.622, -0.001224788, -0.001224788,-0.008647,-0.02622755
02/07/2020 10:41:24.628, -0.001750991, -0.001750991,-0.012362,0.6280224
02/07/2020 10:41:24.640, -0.00157238, -0.00157238,-0.011101,0.007003122
02/07/2020 10:41:24.651, 0.0001106232, 0.0001106232,0.000781,0.4301789
02/07/2020 10:41:24.662, 0.005411048, 0.005411048,0.038202,0.08750735
02/07/2020 10:41:24.673, 0.01636855, 0.01636855,0.115562,0.04278475
02/07/2020 10:41:24.685, 0.03464221, 0.03464221,0.244574,-1.221684
02/07/2020 10:41:24.695, 0.06134759, 0.06134759,0.433114,0.0234673
02/07/2020 10:41:24.706, 0.09621813, 0.09621813,0.6793,-1.223657
02/07/2020 10:41:24.717, 0.1380552, 0.1380552,0.9746699,-0.05698345
02/07/2020 10:41:24.728, 0.1856035, 0.1856035,1.310361,0.01136167
02/07/2020 10:41:24.740, 0.2376564, 0.2376564,1.677854,0.002247663
02/07/2020 10:41:24.751, 0.2937195, 0.2937195,2.07366,0.04719361
02/07/2020 10:41:24.762, 0.35405, 0.35405,2.499593,0.1359325
02/07/2020 10:41:24.773, 0.4190863, 0.4190863,2.958749,0.2743927
02/07/2020 10:41:24.784, 0.4895514, 0.4895514,3.456233,0.2546383
02/07/2020 10:41:24.795, 0.564701, 0.564701,3.986789,0.4480337
02/07/2020 10:41:24.806, 0.6453864, 0.6453864,4.556428,0.6527696
02/07/2020 10:41:24.817, 0.7311898, 0.7311898,5.1622,0.9258089
02/07/2020 10:41:24.829, 0.8218287, 0.8218287,5.80211,1.209397
02/07/2020 10:41:24.840, 0.9168755, 0.9168755,6.473141,1.786978
02/07/2020 10:41:24.850, 1.015701, 1.015701,7.170849,1.956825
02/07/2020 10:41:24.862, 1.117796, 1.117796,7.891637,2.350177
02/07/2020 10:41:24.873, 1.222578, 1.222578,8.631403,3.093312
02/07/2020 10:41:24.884, 1.329338, 1.329338,9.385128,3.23195
02/07/2020 10:41:24.895, 1.437474, 1.437474,10.14857,3.848016
02/07/2020 10:41:24.906, 1.546354, 1.546354,10.91726,4.750573
02/07/2020 10:41:24.917, 1.655342, 1.655342,11.68671,5.07946
02/07/2020 10:41:24.928, 1.763876, 1.763876,12.45296,5.40178
02/07/2020 10:41:24.940, 1.871379, 1.871379,13.21194,5.70954
02/07/2020 10:41:24.952, 1.977397, 1.977397,13.96042,6.463379
02/07/2020 10:41:24.962, 2.081501, 2.081501,14.6954,7.239217
02/07/2020 10:41:24.973, 2.183209, 2.183209,15.41346,10.05169
02/07/2020 10:41:24.984, 2.282278, 2.282278,16.11288,10.09307
02/07/2020 10:41:24.995, 2.37842, 2.37842,16.79165,10.66052
02/07/2020 10:41:25.006, 2.471245, 2.471245,17.44699,11.16306
02/07/2020 10:41:25.017, 2.560674, 2.560674,18.07836,10.78851
02/07/2020 10:41:25.028, 2.646542, 2.646542,18.68459,9.782126
02/07/2020 10:41:25.039, 2.728552, 2.728552,19.26358,11.52396
02/07/2020 10:41:25.051, 2.806714, 2.806714,19.8154,12.25226
02/07/2020 10:41:25.062, 2.880957, 2.880957,20.33955,14.13068
02/07/2020 10:41:25.073, 2.951048, 2.951048,20.8344,15.82156
02/07/2020 10:41:25.083, 3.017046, 3.017046,21.30034,14.238
02/07/2020 10:41:25.095, 3.078952, 3.078952,21.7374,16.15049
02/07/2020 10:41:25.106, 3.136614, 3.136614,22.1445,16.11978
02/07/2020 10:41:25.117, 3.190099, 3.190099,22.52209,14.15992
02/07/2020 10:41:25.128, 3.239464, 3.239464,22.87062,15.85367
02/07/2020 10:41:25.139, 3.284613, 3.284613,23.18937,18.91261
02/07/2020 10:41:25.151, 3.325622, 3.325622,23.47889,15.62015
02/07/2020 10:41:25.162, 3.362609, 3.362609,23.74002,17.51888
02/07/2020 10:41:25.172, 3.395532, 3.395532,23.97246,19.0434
02/07/2020 10:41:25.184, 3.424474, 3.424474,24.17678,18.45531
