World Timestamp, Recording Timestamp, Sent Voltage, Velocity
03/02/2020 09:29:29.536,4.137,-0.0002990085,-0.002111
03/02/2020 09:29:29.596,4.196,-0.0006730878,-0.004752
03/02/2020 09:29:29.603,4.203,-0.001224788,-0.008647
03/02/2020 09:29:29.609,4.21,-0.001750991,-0.012362
03/02/2020 09:29:29.620,4.221,-0.00157238,-0.011101
03/02/2020 09:29:29.631,4.232,0.0001106232,0.000781
03/02/2020 09:29:29.642,4.243,0.005411048,0.038202
03/02/2020 09:29:29.653,4.254,0.01636855,0.115562
03/02/2020 09:29:29.664,4.265,0.03464221,0.244574
03/02/2020 09:29:29.676,4.276,0.06134759,0.433114
03/02/2020 09:29:29.687,4.287,0.09621813,0.6793
03/02/2020 09:29:29.698,4.298,0.1380552,0.9746699
03/02/2020 09:29:29.709,4.309,0.1856035,1.310361
03/02/2020 09:29:29.720,4.321,0.2376564,1.677854
03/02/2020 09:29:29.731,4.332,0.2937195,2.07366
03/02/2020 09:29:29.742,4.343,0.35405,2.499593
03/02/2020 09:29:29.753,4.354,0.4190863,2.958749
03/02/2020 09:29:29.764,4.365,0.4895514,3.456233
03/02/2020 09:29:29.776,4.377,0.564701,3.986789
03/02/2020 09:29:29.787,4.387,0.6453864,4.556428
03/02/2020 09:29:29.798,4.398,0.7311898,5.1622
03/02/2020 09:29:29.809,4.409,0.8218287,5.80211
03/02/2020 09:29:29.820,4.421,0.9168755,6.473141
03/02/2020 09:29:29.831,4.432,1.015701,7.170849
03/02/2020 09:29:29.842,4.443,1.117796,7.891637
03/02/2020 09:29:29.853,4.454,1.222578,8.631403
03/02/2020 09:29:29.864,4.465,1.329338,9.385128
03/02/2020 09:29:29.875,4.476,1.437474,10.14857
03/02/2020 09:29:29.887,4.487,1.546354,10.91726
03/02/2020 09:29:29.898,4.498,1.655342,11.68671
03/02/2020 09:29:29.909,4.509,1.763876,12.45296
03/02/2020 09:29:29.920,4.52,1.871379,13.21194
03/02/2020 09:29:29.931,4.532,1.977397,13.96042
03/02/2020 09:29:29.942,4.543,2.081501,14.6954
03/02/2020 09:29:29.953,4.554,2.183209,15.41346
03/02/2020 09:29:29.965,4.565,2.282278,16.11288
03/02/2020 09:29:29.975,4.576,2.37842,16.79165
03/02/2020 09:29:29.987,4.587,2.471245,17.44699
03/02/2020 09:29:29.998,4.598,2.560674,18.07836
03/02/2020 09:29:30.009,4.61,2.646542,18.68459
03/02/2020 09:29:30.020,4.62,2.728552,19.26358
03/02/2020 09:29:30.031,4.632,2.806714,19.8154
03/02/2020 09:29:30.042,4.643,2.880957,20.33955
03/02/2020 09:29:30.053,4.654,2.951048,20.8344
03/02/2020 09:29:30.064,4.665,3.017046,21.30034
03/02/2020 09:29:30.075,4.676,3.078952,21.7374
03/02/2020 09:29:30.087,4.687,3.136614,22.1445
03/02/2020 09:29:30.098,4.698,3.190099,22.52209
03/02/2020 09:29:30.109,4.709,3.239464,22.87062
03/02/2020 09:29:30.120,4.72,3.284613,23.18937
03/02/2020 09:29:30.131,4.731,3.325622,23.47889
03/02/2020 09:29:30.142,4.742,3.362609,23.74002
03/02/2020 09:29:30.153,4.754,3.395532,23.97246
03/02/2020 09:29:30.164,4.765,3.424474,24.17678
03/02/2020 09:29:30.175,4.776,3.449602,24.35419
03/02/2020 09:29:30.187,4.787,3.470937,24.50481
03/02/2020 09:29:30.198,4.798,3.488587,24.62942
03/02/2020 09:29:30.209,4.809,3.502789,24.72969
03/02/2020 09:29:30.220,4.82,3.513647,24.80635
03/02/2020 09:29:30.231,4.831,3.521313,24.86047
03/02/2020 09:29:30.242,4.843,3.526099,24.89426
03/02/2020 09:29:30.254,4.855,3.528218,24.90922
03/02/2020 09:29:30.266,4.867,3.527901,24.90698
03/02/2020 09:29:30.279,4.879,3.525513,24.89013
03/02/2020 09:29:30.291,4.892,3.521336,24.86063
03/02/2020 09:29:30.303,4.903,3.515643,24.82044
03/02/2020 09:29:30.314,4.914,3.508779,24.77198
03/02/2020 09:29:30.325,4.925,3.501006,24.7171
03/02/2020 09:29:30.336,4.936,3.492547,24.65738
03/02/2020 09:29:30.347,4.947,3.483622,24.59437
03/02/2020 09:29:30.358,4.958,3.474359,24.52898
03/02/2020 09:29:30.369,4.97,3.464814,24.46159
03/02/2020 09:29:30.380,4.981,3.455009,24.39236
03/02/2020 09:29:30.391,4.992,3.444878,24.32084
03/02/2020 09:29:30.403,5.004,3.434269,24.24594
03/02/2020 09:29:30.413,5.014,3.423017,24.1665
03/02/2020 09:29:30.424,5.025,3.410907,24.081
03/02/2020 09:29:30.435,5.036,3.397647,23.98738
03/02/2020 09:29:30.447,5.047,3.383007,23.88403
03/02/2020 09:29:30.458,5.058,3.366761,23.76933
03/02/2020 09:29:30.469,5.07,3.34865,23.64147
03/02/2020 09:29:30.480,5.081,3.328551,23.49957
03/02/2020 09:29:30.491,5.092,3.306388,23.3431
03/02/2020 09:29:30.502,5.103,3.282069,23.17141
03/02/2020 09:29:30.513,5.114,3.255701,22.98525
03/02/2020 09:29:30.524,5.125,3.227461,22.78587
03/02/2020 09:29:30.536,5.136,3.197524,22.57452
03/02/2020 09:29:30.547,5.147,3.166209,22.35343
03/02/2020 09:29:30.558,5.158,3.133884,22.12522
03/02/2020 09:29:30.569,5.169,3.100912,21.89244
03/02/2020 09:29:30.580,5.18,3.06773,21.65817
03/02/2020 09:29:30.591,5.192,3.034778,21.42553
03/02/2020 09:29:30.602,5.203,3.002481,21.19751
03/02/2020 09:29:30.613,5.214,2.971255,20.97706
03/02/2020 09:29:30.624,5.225,2.941432,20.76651
