World Timestamp, Recording Timestamp, Sent Voltage, Velocity
03/02/2020 09:26:51.223,3.886,-0.0002990085,-0.002111
03/02/2020 09:26:51.280,3.943,-0.0006730878,-0.004752
03/02/2020 09:26:51.289,3.951,-0.001224788,-0.008647
03/02/2020 09:26:51.295,3.958,-0.001750991,-0.012362
03/02/2020 09:26:51.306,3.969,-0.00157238,-0.011101
03/02/2020 09:26:51.317,3.98,0.0001106232,0.000781
03/02/2020 09:26:51.328,3.991,0.005411048,0.038202
03/02/2020 09:26:51.340,4.002,0.01636855,0.115562
03/02/2020 09:26:51.351,4.014,0.03464221,0.244574
03/02/2020 09:26:51.362,4.025,0.06134759,0.433114
03/02/2020 09:26:51.373,4.036,0.09621813,0.6793
03/02/2020 09:26:51.384,4.047,0.1380552,0.9746699
03/02/2020 09:26:51.395,4.058,0.1856035,1.310361
03/02/2020 09:26:51.407,4.069,0.2376564,1.677854
03/02/2020 09:26:51.417,4.08,0.2937195,2.07366
03/02/2020 09:26:51.429,4.091,0.35405,2.499593
03/02/2020 09:26:51.440,4.102,0.4190863,2.958749
03/02/2020 09:26:51.451,4.113,0.4895514,3.456233
03/02/2020 09:26:51.462,4.124,0.564701,3.986789
03/02/2020 09:26:51.473,4.136,0.6453864,4.556428
03/02/2020 09:26:51.484,4.147,0.7311898,5.1622
03/02/2020 09:26:51.495,4.158,0.8218287,5.80211
03/02/2020 09:26:51.506,4.169,0.9168755,6.473141
03/02/2020 09:26:51.518,4.18,1.015701,7.170849
03/02/2020 09:26:51.529,4.191,1.117796,7.891637
03/02/2020 09:26:51.540,4.202,1.222578,8.631403
03/02/2020 09:26:51.551,4.214,1.329338,9.385128
03/02/2020 09:26:51.562,4.224,1.437474,10.14857
03/02/2020 09:26:51.573,4.235,1.546354,10.91726
03/02/2020 09:26:51.584,4.246,1.655342,11.68671
03/02/2020 09:26:51.595,4.258,1.763876,12.45296
03/02/2020 09:26:51.606,4.269,1.871379,13.21194
03/02/2020 09:26:51.617,4.28,1.977397,13.96042
03/02/2020 09:26:51.628,4.291,2.081501,14.6954
03/02/2020 09:26:51.639,4.302,2.183209,15.41346
03/02/2020 09:26:51.651,4.313,2.282278,16.11288
03/02/2020 09:26:51.662,4.324,2.37842,16.79165
03/02/2020 09:26:51.673,4.336,2.471245,17.44699
03/02/2020 09:26:51.684,4.346,2.560674,18.07836
03/02/2020 09:26:51.695,4.358,2.646542,18.68459
03/02/2020 09:26:51.706,4.369,2.728552,19.26358
03/02/2020 09:26:51.717,4.38,2.806714,19.8154
03/02/2020 09:26:51.729,4.391,2.880957,20.33955
03/02/2020 09:26:51.740,4.402,2.951048,20.8344
03/02/2020 09:26:51.751,4.413,3.017046,21.30034
03/02/2020 09:26:51.763,4.425,3.078952,21.7374
03/02/2020 09:26:51.773,4.435,3.136614,22.1445
03/02/2020 09:26:51.784,4.446,3.190099,22.52209
03/02/2020 09:26:51.795,4.458,3.239464,22.87062
03/02/2020 09:26:51.806,4.469,3.284613,23.18937
03/02/2020 09:26:51.817,4.48,3.325622,23.47889
03/02/2020 09:26:51.828,4.491,3.362609,23.74002
03/02/2020 09:26:51.839,4.502,3.395532,23.97246
03/02/2020 09:26:51.851,4.513,3.424474,24.17678
03/02/2020 09:26:51.862,4.524,3.449602,24.35419
03/02/2020 09:26:51.873,4.535,3.470937,24.50481
03/02/2020 09:26:51.884,4.546,3.488587,24.62942
03/02/2020 09:26:51.895,4.557,3.502789,24.72969
03/02/2020 09:26:51.906,4.569,3.513647,24.80635
03/02/2020 09:26:51.917,4.58,3.521313,24.86047
03/02/2020 09:26:51.928,4.591,3.526099,24.89426
03/02/2020 09:26:51.940,4.603,3.528218,24.90922
03/02/2020 09:26:51.953,4.616,3.527901,24.90698
03/02/2020 09:26:51.966,4.628,3.525513,24.89013
03/02/2020 09:26:51.978,4.64,3.521336,24.86063
03/02/2020 09:26:51.989,4.652,3.515643,24.82044
03/02/2020 09:26:52.000,4.663,3.508779,24.77198
03/02/2020 09:26:52.011,4.674,3.501006,24.7171
03/02/2020 09:26:52.022,4.685,3.492547,24.65738
03/02/2020 09:26:52.033,4.696,3.483622,24.59437
03/02/2020 09:26:52.044,4.707,3.474359,24.52898
03/02/2020 09:26:52.056,4.718,3.464814,24.46159
03/02/2020 09:26:52.066,4.729,3.455009,24.39236
03/02/2020 09:26:52.078,4.74,3.444878,24.32084
03/02/2020 09:26:52.089,4.751,3.434269,24.24594
03/02/2020 09:26:52.100,4.762,3.423017,24.1665
03/02/2020 09:26:52.111,4.774,3.410907,24.081
03/02/2020 09:26:52.122,4.785,3.397647,23.98738
03/02/2020 09:26:52.133,4.796,3.383007,23.88403
03/02/2020 09:26:52.145,4.807,3.366761,23.76933
03/02/2020 09:26:52.156,4.818,3.34865,23.64147
03/02/2020 09:26:52.167,4.829,3.328551,23.49957
03/02/2020 09:26:52.178,4.84,3.306388,23.3431
03/02/2020 09:26:52.189,4.851,3.282069,23.17141
03/02/2020 09:26:52.200,4.862,3.255701,22.98525
03/02/2020 09:26:52.211,4.873,3.227461,22.78587
03/02/2020 09:26:52.222,4.884,3.197524,22.57452
03/02/2020 09:26:52.233,4.896,3.166209,22.35343
03/02/2020 09:26:52.244,4.907,3.133884,22.12522
03/02/2020 09:26:52.256,4.918,3.100912,21.89244
03/02/2020 09:26:52.267,4.929,3.06773,21.65817
03/02/2020 09:26:52.277,4.94,3.034778,21.42553
03/02/2020 09:26:52.289,4.951,3.002481,21.19751
03/02/2020 09:26:52.300,4.962,2.971255,20.97706
03/02/2020 09:26:52.311,4.973,2.941432,20.76651
03/02/2020 09:26:52.322,4.985,2.913325,20.56808
03/02/2020 09:26:52.333,4.995,2.887196,20.3836
03/02/2020 09:26:52.344,5.007,2.863131,20.2137
03/02/2020 09:26:52.355,5.018,2.841218,20.059
03/02/2020 09:26:52.366,5.029,2.821489,19.91971
03/02/2020 09:26:52.377,5.04,2.803745,19.79444
03/02/2020 09:26:52.388,5.051,2.787815,19.68198
03/02/2020 09:26:52.400,5.063,2.773422,19.58036
03/02/2020 09:26:52.411,5.073,2.760104,19.48634
03/02/2020 09:26:52.422,5.085,2.747398,19.39663
03/02/2020 09:26:52.433,5.096,2.734743,19.30729
03/02/2020 09:26:52.444,5.107,2.721504,19.21382
03/02/2020 09:26:52.455,5.118,2.707023,19.11159
03/02/2020 09:26:52.467,5.129,2.690479,18.99478
03/02/2020 09:26:52.478,5.14,2.671201,18.85868
03/02/2020 09:26:52.489,5.151,2.648467,18.69818
03/02/2020 09:26:52.500,5.162,2.621352,18.50674
03/02/2020 09:26:52.511,5.173,2.589246,18.28008
03/02/2020 09:26:52.522,5.185,2.551528,18.01379
03/02/2020 09:26:52.533,5.195,2.50736,17.70196
03/02/2020 09:26:52.544,5.207,2.4564,17.34218
03/02/2020 09:26:52.555,5.218,2.398325,16.93217
03/02/2020 09:26:52.566,5.229,2.332676,16.46869
03/02/2020 09:26:52.577,5.24,2.259502,15.95209
03/02/2020 09:26:52.588,5.251,2.178951,15.38339
03/02/2020 09:26:52.599,5.262,2.091053,14.76283
03/02/2020 09:26:52.611,5.273,1.996354,14.09426
03/02/2020 09:26:52.622,5.285,1.89554,13.38251
03/02/2020 09:26:52.633,5.296,1.789217,12.63187
03/02/2020 09:26:52.644,5.307,1.678367,11.84927
03/02/2020 09:26:52.656,5.319,1.564144,11.04286
03/02/2020 09:26:52.667,5.329,1.447608,10.22011
03/02/2020 09:26:52.677,5.34,1.330026,9.389983
03/02/2020 09:26:52.688,5.351,1.212667,8.561427
03/02/2020 09:26:52.700,5.362,1.096804,7.743434
03/02/2020 09:26:52.711,5.373,0.9837139,6.94502
03/02/2020 09:26:52.722,5.384,0.8744572,6.173668
03/02/2020 09:26:52.733,5.396,0.7701317,5.43713
03/02/2020 09:26:52.744,5.407,0.6717969,4.742886
03/02/2020 09:26:52.755,5.418,0.5799973,4.094781
03/02/2020 09:26:52.766,5.429,0.4953703,3.497314
03/02/2020 09:26:52.777,5.44,0.4185132,2.954703
03/02/2020 09:26:52.788,5.451,0.3493584,2.46647
03/02/2020 09:26:52.800,5.462,0.2879533,2.03295
03/02/2020 09:26:52.811,5.473,0.2344059,1.654906
03/02/2020 09:26:52.822,5.484,0.1881313,1.328207
03/02/2020 09:26:52.833,5.495,0.1487402,1.050106
03/02/2020 09:26:52.844,5.506,0.1159528,0.818627
03/02/2020 09:26:52.855,5.517,0.08886898,0.627415
03/02/2020 09:26:52.866,5.529,0.06686813,0.472089
03/02/2020 09:26:52.877,5.54,0.04948669,0.349376
03/02/2020 09:26:52.888,5.551,0.03586771,0.253226
03/02/2020 09:26:52.899,5.562,0.02540807,0.179381
03/02/2020 09:26:52.910,5.573,0.01764363,0.124564
03/02/2020 09:26:52.922,5.584,0.01194901,0.08436
03/02/2020 09:26:52.934,5.596,0.007864589,0.055524
03/02/2020 09:26:52.944,5.607,0.005046742,0.03563
03/02/2020 09:26:52.955,5.618,0.003147309,0.02222
03/02/2020 09:26:52.966,5.629,0.001897592,0.013397
03/02/2020 09:26:52.977,5.64,0.001105949,0.007808
03/02/2020 09:26:52.988,5.651,0.000614306,0.004337
03/02/2020 09:26:53.000,5.662,0.0003171388,0.002239
03/02/2020 09:26:53.011,5.673,0.0001471671,0.001039
03/02/2020 09:26:53.022,5.684,5.467422E-05,0.000386
03/02/2020 09:26:53.033,5.695,1.048159E-05,7.4E-05
03/02/2020 09:26:53.044,5.707,0,0
03/02/2020 09:26:53.055,5.718,0,0
03/02/2020 09:26:53.066,5.729,0,0
03/02/2020 09:26:53.077,5.74,0,0
03/02/2020 09:26:53.089,5.751,0,0
03/02/2020 09:26:53.100,5.763,0,0
03/02/2020 09:26:53.111,5.773,0,0
03/02/2020 09:26:53.122,5.784,0,0
03/02/2020 09:26:53.133,5.795,0,0
03/02/2020 09:26:53.144,5.806,0,0
03/02/2020 09:26:53.155,5.817,0,0
03/02/2020 09:26:53.166,5.828,0,0
03/02/2020 09:26:53.177,5.84,0,0
03/02/2020 09:26:53.188,5.851,0,0
03/02/2020 09:26:53.199,5.862,0,0
03/02/2020 09:26:53.210,5.873,0,0
03/02/2020 09:26:53.222,5.884,0,0
03/02/2020 09:26:53.233,5.895,0,0
03/02/2020 09:26:53.244,5.906,0,0
03/02/2020 09:26:53.255,5.917,0.0008535411,0.006026
03/02/2020 09:26:53.266,5.928,0.002201416,0.015542
03/02/2020 09:26:53.277,5.939,0.004688243,0.033099
03/02/2020 09:26:53.288,5.95,0.008606657,0.060763
03/02/2020 09:26:53.299,5.962,0.0136238,0.096184
03/02/2020 09:26:53.310,5.973,0.01686388,0.119059
03/02/2020 09:26:53.322,5.984,0.01629901,0.115071
03/02/2020 09:26:53.333,5.995,0.005815156,0.041055
03/02/2020 09:26:53.344,6.006,-0.01927281,-0.136066
03/02/2020 09:26:53.355,6.017,-0.06152748,-0.434384
03/02/2020 09:26:53.366,6.029,-0.1210031,-0.854282
03/02/2020 09:26:53.377,6.04,-0.193631,-1.367035
03/02/2020 09:26:53.388,6.051,-0.273771,-1.932823
03/02/2020 09:26:53.399,6.062,-0.3563827,-2.516062
03/02/2020 09:26:53.410,6.073,-0.4380938,-3.092942
03/02/2020 09:26:53.421,6.084,-0.5178744,-3.656193
03/02/2020 09:26:53.432,6.095,-0.5961194,-4.208603
03/02/2020 09:26:53.444,6.106,-0.6740028,-4.75846
03/02/2020 09:26:53.455,6.117,-0.7532251,-5.317769
03/02/2020 09:26:53.466,6.128,-0.8328956,-5.880243
03/02/2020 09:26:53.477,6.139,-0.9147853,-6.458384
03/02/2020 09:26:53.488,6.151,-0.9988638,-7.051978
03/02/2020 09:26:53.499,6.162,-1.085135,-7.66105
03/02/2020 09:26:53.511,6.173,-1.173503,-8.284934
03/02/2020 09:26:53.522,6.184,-1.263726,-8.921903
03/02/2020 09:26:53.533,6.195,-1.355558,-9.570239
03/02/2020 09:26:53.544,6.206,-1.448663,-10.22756
03/02/2020 09:26:53.555,6.217,-1.542572,-10.89056
03/02/2020 09:26:53.566,6.228,-1.636818,-11.55594
03/02/2020 09:26:53.577,6.239,-1.730843,-12.21975
03/02/2020 09:26:53.588,6.251,-1.824084,-12.87803
03/02/2020 09:26:53.599,6.262,-1.915965,-13.52672
03/02/2020 09:26:53.610,6.273,-2.005829,-14.16115
03/02/2020 09:26:53.621,6.284,-2.093192,-14.77793
03/02/2020 09:26:53.632,6.295,-2.177548,-15.37349
03/02/2020 09:26:53.643,6.306,-2.2583,-15.9436
03/02/2020 09:26:53.655,6.317,-2.335226,-16.48669
03/02/2020 09:26:53.666,6.329,-2.408051,-17.00084
03/02/2020 09:26:53.677,6.339,-2.476398,-17.48337
03/02/2020 09:26:53.688,6.351,-2.540371,-17.93502
