Voltage, Timestamp, X position, Y position, Z position, X rotation, Y rotation, Z rotation
-0.0001066572, 06/04/2019 04:00:05.322, 0.01013531, -0.02645986, 0.008881458, 2.219721, 276.084, 2.858377
-0.0002990085, 06/04/2019 04:00:05.927, 0.01013434, -0.02643229, 0.008866389, 2.231872, 276.0807, 2.856147
-0.0006730878, 06/04/2019 04:00:05.929, 0.01013434, -0.02643229, 0.008866389, 2.231872, 276.0807, 2.856147
-0.001224788, 06/04/2019 04:00:05.933, 0.01012958, -0.02646681, 0.008868723, 2.224051, 276.0844, 2.858171
-0.001750991, 06/04/2019 04:00:05.944, 0.0101368, -0.02643821, 0.008863215, 2.237327, 276.083, 2.854799
-0.00157238, 06/04/2019 04:00:05.955, 0.01013337, -0.02648063, 0.008864413, 2.249515, 276.0777, 2.866911
0.0001106232, 06/04/2019 04:00:05.967, 0.01013841, -0.02648141, 0.008860866, 2.202318, 276.0853, 2.865225
0.005411048, 06/04/2019 04:00:05.977, 0.01013784, -0.02646253, 0.008870641, 2.207388, 276.0842, 2.857755
0.01636855, 06/04/2019 04:00:05.989, 0.01013526, -0.02646203, 0.00887362, 2.213023, 276.0859, 2.856151
0.03464221, 06/04/2019 04:00:06.000, 0.01013312, -0.02642981, 0.008870482, 2.216413, 276.0786, 2.868546
0.06134759, 06/04/2019 04:00:06.011, 0.01012802, -0.02647573, 0.008866915, 2.217757, 276.0855, 2.869691
0.09621813, 06/04/2019 04:00:06.032, 0.01012932, -0.02647031, 0.008866673, 2.225381, 276.0827, 2.864856
0.1380552, 06/04/2019 04:00:06.034, 0.01013451, -0.02644958, 0.008868604, 2.204601, 276.0849, 2.860783
0.1856035, 06/04/2019 04:00:06.044, 0.01013153, -0.02643463, 0.008877678, 2.229356, 276.0818, 2.874679
0.2376564, 06/04/2019 04:00:06.067, 0.01012745, -0.02642503, 0.008877189, 2.219005, 276.0797, 2.881837
0.2937195, 06/04/2019 04:00:06.077, 0.01012854, -0.02644673, 0.008861585, 2.216722, 276.089, 2.858507
0.35405, 06/04/2019 04:00:06.089, 0.01012931, -0.02647213, 0.008854493, 2.220054, 276.0938, 2.860924
0.4190863, 06/04/2019 04:00:06.100, 0.01013739, -0.02644837, 0.008854453, 2.221422, 276.0981, 2.850542
0.4895514, 06/04/2019 04:00:06.111, 0.01012726, -0.02645062, 0.008841865, 2.225718, 276.103, 2.854523
0.564701, 06/04/2019 04:00:06.122, 0.01014139, -0.02644904, 0.008839643, 2.209099, 276.1232, 2.843523
0.6453864, 06/04/2019 04:00:06.138, 0.01015177, -0.02645978, 0.00881382, 2.189354, 276.1532, 2.840429
0.7311898, 06/04/2019 04:00:06.151, 0.01015941, -0.02646284, 0.008788714, 2.189074, 276.1762, 2.841657
0.8218287, 06/04/2019 04:00:06.155, 0.01016544, -0.02644422, 0.008786988, 2.185736, 276.193, 2.827493
0.9168755, 06/04/2019 04:00:06.167, 0.01016506, -0.02648416, 0.008767518, 2.177763, 276.2256, 2.840368
1.015701, 06/04/2019 04:00:06.178, 0.01019662, -0.02643996, 0.00873375, 2.192288, 276.2746, 2.906544
1.117796, 06/04/2019 04:00:06.189, 0.01020997, -0.0264458, 0.008708578, 2.209038, 276.3145, 2.912541
1.222578, 06/04/2019 04:00:06.201, 0.01022377, -0.02648823, 0.008671426, 2.226445, 276.3678, 2.912455
1.329338, 06/04/2019 04:00:06.211, 0.01024792, -0.0264403, 0.008644965, 2.219251, 276.4172, 2.932473
1.437474, 06/04/2019 04:00:06.222, 0.01028372, -0.02640375, 0.00859083, 2.246102, 276.4865, 2.956473
1.546354, 06/04/2019 04:00:06.233, 0.01029749, -0.02641042, 0.008561124, 2.234769, 276.5291, 2.952209
1.655342, 06/04/2019 04:00:06.244, 0.01033924, -0.02639043, 0.008516145, 2.245309, 276.6162, 2.985921
1.763876, 06/04/2019 04:00:06.255, 0.01037269, -0.02640294, 0.008474463, 2.26957, 276.7097, 3.004369
1.871379, 06/04/2019 04:00:06.266, 0.01040771, -0.02640316, 0.008429822, 2.216378, 276.7885, 2.988286
1.977397, 06/04/2019 04:00:06.277, 0.01045845, -0.02639282, 0.008343213, 2.241713, 276.8898, 2.975234
2.081501, 06/04/2019 04:00:06.288, 0.01050799, -0.02638012, 0.008269133, 2.220879, 277.014, 2.940056
2.183209, 06/04/2019 04:00:06.300, 0.01054049, -0.02639165, 0.008218178, 2.219169, 277.091, 2.898569
2.282278, 06/04/2019 04:00:06.311, 0.01057568, -0.02641691, 0.008125291, 2.188542, 277.2472, 2.962236
2.37842, 06/04/2019 04:00:06.322, 0.01063104, -0.02637766, 0.008013765, 2.17777, 277.391, 3.055469
2.471245, 06/04/2019 04:00:06.333, 0.01068017, -0.02636131, 0.007956187, 2.16184, 277.4973, 3.071724
2.560674, 06/04/2019 04:00:06.344, 0.01073715, -0.02635878, 0.00786762, 2.179273, 277.6343, 3.024554
2.646542, 06/04/2019 04:00:06.355, 0.0108065, -0.02641755, 0.007765015, 2.157011, 277.8096, 2.99236
2.728552, 06/04/2019 04:00:06.367, 0.01088212, -0.02638992, 0.007677007, 2.159324, 277.9224, 2.988916
2.806714, 06/04/2019 04:00:06.378, 0.01095652, -0.0263787, 0.00753988, 2.192097, 278.1106, 2.967726
2.880957, 06/04/2019 04:00:06.389, 0.01101376, -0.02637359, 0.007398501, 2.190508, 278.2863, 2.986928
2.951048, 06/04/2019 04:00:06.400, 0.01106748, -0.02638178, 0.007316208, 2.183328, 278.4131, 2.980838
3.017046, 06/04/2019 04:00:06.411, 0.01112142, -0.02639806, 0.007205022, 2.234634, 278.6033, 2.984957
3.078952, 06/04/2019 04:00:06.422, 0.011193, -0.02646746, 0.007045198, 2.164622, 278.8257, 2.983118
3.136614, 06/04/2019 04:00:06.433, 0.01125634, -0.02648143, 0.006961767, 2.163486, 278.9677, 3.005606
3.190099, 06/04/2019 04:00:06.444, 0.01132093, -0.02648423, 0.006818613, 2.147481, 279.1917, 2.980587
3.239464, 06/04/2019 04:00:06.455, 0.01143349, -0.02645489, 0.006665774, 2.129128, 279.4371, 2.964335
3.284613, 06/04/2019 04:00:06.466, 0.01149837, -0.02644088, 0.006583064, 2.104175, 279.5851, 2.937731
3.325622, 06/04/2019 04:00:06.477, 0.01158173, -0.02639464, 0.006421175, 2.120396, 279.8111, 2.950517
3.362609, 06/04/2019 04:00:06.488, 0.01164059, -0.02643878, 0.006262758, 2.121033, 280.0492, 2.995911
3.395532, 06/04/2019 04:00:06.499, 0.01169967, -0.02640858, 0.006152544, 2.150247, 280.1937, 3.009717
3.424474, 06/04/2019 04:00:06.511, 0.01179215, -0.0264713, 0.005990025, 2.144975, 280.4368, 2.987751
3.449602, 06/04/2019 04:00:06.522, 0.01185669, -0.02647621, 0.005800676, 2.154673, 280.6977, 2.997172
3.470937, 06/04/2019 04:00:06.533, 0.01197137, -0.02644356, 0.00563935, 2.174524, 280.9662, 2.988596
3.488587, 06/04/2019 04:00:06.545, 0.01202267, -0.02646612, 0.005541596, 2.189189, 281.1292, 3.017711
3.502789, 06/04/2019 04:00:06.555, 0.0120989, -0.02645012, 0.005381302, 2.169047, 281.3808, 2.995734
3.513647, 06/04/2019 04:00:06.566, 0.01214502, -0.02648462, 0.005267798, 2.136285, 281.5604, 2.977203
3.521313, 06/04/2019 04:00:06.577, 0.01225679, -0.0264316, 0.005076318, 2.170608, 281.822, 2.939932
3.526099, 06/04/2019 04:00:06.588, 0.01235706, -0.02635858, 0.004895635, 2.170869, 282.0778, 2.937127
3.528218, 06/04/2019 04:00:06.599, 0.01240044, -0.02636105, 0.004778663, 2.150659, 282.2593, 2.970499
3.527901, 06/04/2019 04:00:06.611, 0.0124847, -0.02641457, 0.004606889, 2.105654, 282.4998, 2.940198
3.525513, 06/04/2019 04:00:06.622, 0.01256041, -0.02649741, 0.004414188, 2.079978, 282.7896, 3.050488
3.521336, 06/04/2019 04:00:06.633, 0.01264153, -0.02647521, 0.004282312, 2.107903, 282.9599, 2.976696
3.515643, 06/04/2019 04:00:06.650, 0.01277803, -0.02645086, 0.004038436, 2.159595, 283.314, 3.029766
3.508779, 06/04/2019 04:00:06.660, 0.01285839, -0.02644974, 0.003864906, 2.145199, 283.5907, 2.980711
3.501006, 06/04/2019 04:00:06.671, 0.01293346, -0.02646714, 0.003658628, 2.109148, 283.8434, 2.933067
3.492547, 06/04/2019 04:00:06.682, 0.01299642, -0.0264274, 0.003559012, 2.124444, 284.0277, 3.00424
3.483622, 06/04/2019 04:00:06.694, 0.01307149, -0.02640476, 0.003375316, 2.136102, 284.2879, 3.030443
3.474359, 06/04/2019 04:00:06.704, 0.01317455, -0.02639954, 0.003194899, 2.156271, 284.5433, 3.006768
3.464814, 06/04/2019 04:00:06.716, 0.01320764, -0.02644841, 0.003060009, 2.108587, 284.7252, 2.976512
3.455009, 06/04/2019 04:00:06.727, 0.01328311, -0.02645256, 0.002893432, 2.136795, 284.9802, 2.988976
