Voltage, Timestamp, X position, Y position, Z position, X rotation, Y rotation, Z rotation
8.742278E-08, 06/04/2019 04:07:39.500, 0.008839814, -0.02625386, 0.01093376, 2.169308, 272.9749, 2.846623
-0.005000006, 06/04/2019 04:07:39.543, 0.00883682, -0.02626716, 0.01092003, 2.167505, 272.9776, 2.839411
-0.009999975, 06/04/2019 04:07:39.546, 0.008837709, -0.02628294, 0.01091076, 2.170928, 272.9766, 2.840137
-0.01499969, 06/04/2019 04:07:39.562, 0.00883964, -0.02626819, 0.01091623, 2.168236, 272.9764, 2.837697
-0.01999904, 06/04/2019 04:07:39.573, 0.008832397, -0.02628735, 0.01090542, 2.169634, 272.9698, 2.82308
-0.02499788, 06/04/2019 04:07:39.584, 0.008845196, -0.02630148, 0.01090572, 2.178804, 272.9752, 2.835477
-0.0299961, 06/04/2019 04:07:39.610, 0.008841732, -0.02628998, 0.01090129, 2.166212, 272.9772, 2.828377
-0.03499357, 06/04/2019 04:07:39.618, 0.008842732, -0.02628618, 0.01090941, 2.169325, 272.9742, 2.846125
-0.03999016, 06/04/2019 04:07:39.634, 0.008841, -0.0262651, 0.01090744, 2.172328, 272.972, 2.848473
-0.04498576, 06/04/2019 04:07:39.648, 0.008849942, -0.02625893, 0.01091556, 2.174717, 272.9762, 2.845788
-0.04998022, 06/04/2019 04:07:39.650, 0.008848952, -0.02625339, 0.01092017, 2.166647, 272.9727, 2.848373
-0.05497345, 06/04/2019 04:07:39.662, 0.008850778, -0.02624925, 0.01091638, 2.174821, 272.9637, 2.825671
-0.05996529, 06/04/2019 04:07:39.673, 0.008853827, -0.02624443, 0.01091045, 2.173797, 272.967, 2.829264
-0.06495564, 06/04/2019 04:07:39.685, 0.008851548, -0.02621755, 0.01091569, 2.175264, 272.9574, 2.823781
-0.06994436, 06/04/2019 04:07:39.696, 0.008847769, -0.02624017, 0.01091685, 2.17588, 272.969, 2.847739
-0.07493133, 06/04/2019 04:07:39.706, 0.008846944, -0.02622006, 0.01090896, 2.168468, 272.9641, 2.836921
-0.07991643, 06/04/2019 04:07:39.717, 0.008837827, -0.02624338, 0.0109122, 2.180698, 272.9632, 2.854857
-0.08489954, 06/04/2019 04:07:39.729, 0.008827489, -0.02627091, 0.01090784, 2.151795, 272.9575, 2.838584
-0.08988051, 06/04/2019 04:07:39.740, 0.008825622, -0.02625592, 0.01091321, 2.170673, 272.9434, 2.841386
-0.09485925, 06/04/2019 04:07:39.751, 0.008806223, -0.02626943, 0.01091474, 2.194646, 272.9306, 2.850765
-0.0998356, 06/04/2019 04:07:39.762, 0.008810332, -0.02626862, 0.01093184, 2.170513, 272.9413, 2.862581
-0.1048095, 06/04/2019 04:07:39.773, 0.008817172, -0.02624658, 0.01094966, 2.188844, 272.9276, 2.845588
-0.1097807, 06/04/2019 04:07:39.784, 0.008815106, -0.02625955, 0.01095227, 2.165983, 272.9179, 2.84644
-0.1147492, 06/04/2019 04:07:39.795, 0.008808564, -0.02626139, 0.01095434, 2.176364, 272.9258, 2.863719
-0.1197148, 06/04/2019 04:07:39.807, 0.008816206, -0.02626557, 0.0109552, 2.177845, 272.9116, 2.838745
-0.1246775, 06/04/2019 04:07:39.818, 0.008830781, -0.02625324, 0.0109644, 2.178643, 272.9034, 2.826314
-0.129637, 06/04/2019 04:07:39.828, 0.008820774, -0.02626837, 0.01096302, 2.18043, 272.8938, 2.841409
-0.1345933, 06/04/2019 04:07:39.840, 0.008814021, -0.02626373, 0.01095972, 2.169917, 272.8949, 2.846048
-0.1395462, 06/04/2019 04:07:39.851, 0.008820105, -0.02625762, 0.01096775, 2.204021, 272.8694, 2.82513
-0.1444956, 06/04/2019 04:07:39.863, 0.008802569, -0.02625605, 0.01097361, 2.200064, 272.8653, 2.837496
-0.1494414, 06/04/2019 04:07:39.873, 0.00879727, -0.02629118, 0.01097092, 2.214549, 272.8521, 2.83221
-0.1543835, 06/04/2019 04:07:39.884, 0.008799812, -0.02627219, 0.01097895, 2.184861, 272.8503, 2.836477
-0.1593217, 06/04/2019 04:07:39.895, 0.008807084, -0.02626076, 0.01098992, 2.201929, 272.8389, 2.822133
-0.164256, 06/04/2019 04:07:39.906, 0.008796128, -0.02623334, 0.01100232, 2.20937, 272.8201, 2.85306
-0.1691861, 06/04/2019 04:07:39.917, 0.008801719, -0.02625685, 0.01100733, 2.233208, 272.8062, 2.841674
-0.174112, 06/04/2019 04:07:39.928, 0.00879709, -0.02625448, 0.0110086, 2.22526, 272.7963, 2.825599
-0.1790335, 06/04/2019 04:07:39.939, 0.008784083, -0.02623544, 0.01101653, 2.242027, 272.7795, 2.852143
-0.1839506, 06/04/2019 04:07:39.950, 0.008772841, -0.02622389, 0.01101856, 2.244709, 272.7624, 2.844169
-0.1888631, 06/04/2019 04:07:39.961, 0.008765819, -0.02622479, 0.01102657, 2.243217, 272.7491, 2.841548
-0.1937708, 06/04/2019 04:07:39.973, 0.008755871, -0.02622515, 0.01102899, 2.232054, 272.7433, 2.856953
-0.1986737, 06/04/2019 04:07:39.984, 0.008743539, -0.02624201, 0.01102501, 2.239891, 272.726, 2.853828
-0.2035717, 06/04/2019 04:07:39.995, 0.008739677, -0.02622782, 0.01103361, 2.23938, 272.717, 2.84289
-0.2084645, 06/04/2019 04:07:40.006, 0.008735698, -0.02621332, 0.0110432, 2.248528, 272.7042, 2.84997
-0.2133521, 06/04/2019 04:07:40.017, 0.008723008, -0.02619726, 0.01106119, 2.250591, 272.6874, 2.833772
-0.2182344, 06/04/2019 04:07:40.028, 0.008731326, -0.02619761, 0.01106671, 2.27155, 272.6767, 2.849601
-0.2231113, 06/04/2019 04:07:40.040, 0.008720268, -0.02621169, 0.01107433, 2.29406, 272.6517, 2.858199
-0.2279826, 06/04/2019 04:07:40.050, 0.008710779, -0.02621457, 0.01109166, 2.269691, 272.6354, 2.86404
-0.2328481, 06/04/2019 04:07:40.061, 0.008705758, -0.02618894, 0.01110021, 2.257873, 272.6287, 2.880775
-0.2377079, 06/04/2019 04:07:40.073, 0.008695908, -0.02619661, 0.01111154, 2.253716, 272.6157, 2.875262
-0.2425617, 06/04/2019 04:07:40.084, 0.008690811, -0.02618792, 0.01112484, 2.264511, 272.601, 2.876696
-0.2474094, 06/04/2019 04:07:40.095, 0.008691552, -0.0261993, 0.01112825, 2.272292, 272.585, 2.875984
-0.252251, 06/04/2019 04:07:40.106, 0.008705325, -0.02631391, 0.0111369, 2.546952, 272.5587, 3.02224
-0.2570862, 06/04/2019 04:07:40.117, 0.008671487, -0.02621851, 0.01114075, 2.281772, 272.5471, 2.877302
-0.261915, 06/04/2019 04:07:40.128, 0.008660614, -0.0262164, 0.01115098, 2.281146, 272.5374, 2.867083
-0.2667373, 06/04/2019 04:07:40.139, 0.00866254, -0.02621887, 0.01115733, 2.28436, 272.5232, 2.877992
-0.2715529, 06/04/2019 04:07:40.150, 0.008653426, -0.02621363, 0.01115803, 2.287332, 272.5092, 2.871134
-0.2763617, 06/04/2019 04:07:40.162, 0.00864864, -0.02621237, 0.01116441, 2.288296, 272.4963, 2.879885
-0.2811636, 06/04/2019 04:07:40.173, 0.008637959, -0.02621727, 0.0111753, 2.297374, 272.4766, 2.883078
-0.2859585, 06/04/2019 04:07:40.184, 0.00863754, -0.02621301, 0.01118525, 2.299125, 272.4628, 2.882282
-0.2907462, 06/04/2019 04:07:40.195, 0.008634932, -0.02621692, 0.0111901, 2.301811, 272.4563, 2.877146
-0.2955267, 06/04/2019 04:07:40.206, 0.008622846, -0.02622621, 0.01119795, 2.283164, 272.4233, 2.855542
-0.3002998, 06/04/2019 04:07:40.217, 0.008605927, -0.02624035, 0.01121467, 2.292931, 272.4092, 2.863945
-0.3050653, 06/04/2019 04:07:40.228, 0.008609959, -0.02621571, 0.01122516, 2.281493, 272.3954, 2.851475
-0.3098232, 06/04/2019 04:07:40.239, 0.008588366, -0.02622378, 0.01123774, 2.297875, 272.3709, 2.855937
-0.3145734, 06/04/2019 04:07:40.250, 0.008591738, -0.02619379, 0.0112508, 2.282362, 272.3516, 2.848199
-0.3193158, 06/04/2019 04:07:40.261, 0.008580625, -0.02621613, 0.01125028, 2.282021, 272.3417, 2.863405
-0.3240501, 06/04/2019 04:07:40.278, 0.00856773, -0.02624768, 0.01126884, 2.278082, 272.3146, 2.905886
-0.3287763, 06/04/2019 04:07:40.289, 0.008557142, -0.02618866, 0.01128884, 2.284173, 272.2762, 2.890692
-0.3334943, 06/04/2019 04:07:40.300, 0.008550948, -0.02619129, 0.01129841, 2.286431, 272.2539, 2.929606
-0.338204, 06/04/2019 04:07:40.311, 0.008538926, -0.02618069, 0.01131185, 2.305785, 272.2318, 2.900048
-0.3429053, 06/04/2019 04:07:40.322, 0.008526208, -0.02619841, 0.01132896, 2.30171, 272.2141, 2.908687
-0.3475979, 06/04/2019 04:07:40.333, 0.008507448, -0.02622696, 0.01134301, 2.294126, 272.1906, 2.899566
-0.3522819, 06/04/2019 04:07:40.344, 0.008508301, -0.02618801, 0.01136504, 2.293151, 272.1727, 2.885848
-0.356957, 06/04/2019 04:07:40.356, 0.008484893, -0.02619164, 0.01138278, 2.321399, 272.1425, 2.892349
-0.3616233, 06/04/2019 04:07:40.366, 0.008483809, -0.02617877, 0.01139827, 2.323472, 272.117, 2.893719
-0.3662804, 06/04/2019 04:07:40.378, 0.008468736, -0.02620355, 0.01140468, 2.308698, 272.1008, 2.889101
-0.3709285, 06/04/2019 04:07:40.389, 0.008450568, -0.02620512, 0.01143502, 2.293039, 272.0716, 2.895972
-0.3755672, 06/04/2019 04:07:40.401, 0.00844546, -0.02618446, 0.01144755, 2.286543, 272.0469, 2.892515
-0.3801966, 06/04/2019 04:07:40.411, 0.008436359, -0.02619687, 0.01146647, 2.296468, 272.0343, 2.903255
-0.3848164, 06/04/2019 04:07:40.422, 0.008434198, -0.02618095, 0.01147775, 2.296371, 272.0065, 2.87283
-0.3894267, 06/04/2019 04:07:40.433, 0.008424642, -0.02618645, 0.01149345, 2.29232, 271.9925, 2.88571
-0.3940272, 06/04/2019 04:07:40.444, 0.008413485, -0.02616696, 0.01150649, 2.294559, 271.9664, 2.910513
-0.3986179, 06/04/2019 04:07:40.456, 0.008398579, -0.02619383, 0.01152125, 2.277656, 271.944, 2.926529
-0.4031985, 06/04/2019 04:07:40.467, 0.008392972, -0.02616175, 0.01154758, 2.266384, 271.9147, 2.916865
-0.4077691, 06/04/2019 04:07:40.478, 0.008385532, -0.02614048, 0.01155531, 2.26356, 271.8987, 2.916454
-0.4123296, 06/04/2019 04:07:40.489, 0.008362838, -0.02616575, 0.01158272, 2.26368, 271.8736, 2.909714
-0.4168797, 06/04/2019 04:07:40.500, 0.008360041, -0.02615252, 0.0116047, 2.293235, 271.8386, 2.893727
-0.4214194, 06/04/2019 04:07:40.511, 0.00835311, -0.02614048, 0.01162679, 2.283856, 271.8197, 2.916026
-0.4259485, 06/04/2019 04:07:40.523, 0.008335535, -0.02616729, 0.01163528, 2.267729, 271.7965, 2.920854
-0.430467, 06/04/2019 04:07:40.533, 0.008326074, -0.02614628, 0.01165525, 2.29722, 271.7584, 2.907228
-0.4349747, 06/04/2019 04:07:40.544, 0.008315112, -0.02618904, 0.01166525, 2.283206, 271.7394, 2.907349
-0.4394716, 06/04/2019 04:07:40.555, 0.008299283, -0.02617547, 0.01167957, 2.300248, 271.7105, 2.898458
-0.4439574, 06/04/2019 04:07:40.566, 0.008281794, -0.0261846, 0.01170131, 2.278809, 271.6746, 2.916509
-0.4484322, 06/04/2019 04:07:40.578, 0.008264404, -0.02617523, 0.01171718, 2.277684, 271.6569, 2.917878
-0.4528958, 06/04/2019 04:07:40.589, 0.008250494, -0.02616872, 0.01174886, 2.288938, 271.6221, 2.910073
-0.457348, 06/04/2019 04:07:40.600, 0.008224943, -0.02621748, 0.01176679, 2.279514, 271.5891, 2.898886
-0.4617888, 06/04/2019 04:07:40.611, 0.008216718, -0.02618982, 0.01177735, 2.28311, 271.5656, 2.896699
-0.4662181, 06/04/2019 04:07:40.622, 0.008192984, -0.02623191, 0.01179524, 2.27922, 271.5294, 2.871279
-0.4706357, 06/04/2019 04:07:40.633, 0.008185415, -0.0262087, 0.01181114, 2.287734, 271.5043, 2.88113
-0.4750415, 06/04/2019 04:07:40.645, 0.008171471, -0.02622136, 0.01183015, 2.278313, 271.4835, 2.880255
-0.4794355, 06/04/2019 04:07:40.655, 0.00816022, -0.02623741, 0.0118413, 2.273844, 271.4529, 2.887785
-0.4838175, 06/04/2019 04:07:40.666, 0.008153321, -0.02620102, 0.01186464, 2.276122, 271.4238, 2.890429
-0.4881874, 06/04/2019 04:07:40.678, 0.008137911, -0.0262299, 0.01188512, 2.284073, 271.3954, 2.867935
-0.492545, 06/04/2019 04:07:40.689, 0.008124656, -0.02618335, 0.01190247, 2.261804, 271.3593, 2.888776
-0.4968904, 06/04/2019 04:07:40.701, 0.008114989, -0.02618042, 0.01194813, 2.261645, 271.3241, 2.893812
-0.5012233, 06/04/2019 04:07:40.711, 0.008104643, -0.02616815, 0.0119498, 2.275478, 271.2977, 2.877774
-0.5055437, 06/04/2019 04:07:40.722, 0.008077882, -0.02612132, 0.01197797, 2.268784, 271.2663, 2.936909
-0.5098515, 06/04/2019 04:07:40.734, 0.008052701, -0.02612104, 0.01200355, 2.284425, 271.2203, 2.920689
-0.5141465, 06/04/2019 04:07:40.744, 0.008037278, -0.02614376, 0.012016, 2.287905, 271.1969, 2.924211
-0.5184287, 06/04/2019 04:07:40.755, 0.008022028, -0.02615554, 0.01203318, 2.286803, 271.1597, 2.905412
-0.5226979, 06/04/2019 04:07:40.767, 0.008015204, -0.02614681, 0.01204475, 2.285636, 271.139, 2.910365
-0.526954, 06/04/2019 04:07:40.777, 0.00798608, -0.02617747, 0.01206855, 2.276618, 271.0993, 2.912777
-0.531197, 06/04/2019 04:07:40.788, 0.007962, -0.02616759, 0.01208095, 2.304368, 271.0535, 2.920506
-0.5354267, 06/04/2019 04:07:40.799, 0.007955341, -0.02617037, 0.01210377, 2.296669, 271.0318, 2.931698
-0.5396429, 06/04/2019 04:07:40.810, 0.007930755, -0.02616961, 0.01212534, 2.282156, 270.9934, 2.916385
-0.5438458, 06/04/2019 04:07:40.822, 0.007913704, -0.02618074, 0.01214525, 2.269, 270.9472, 2.956073
-0.548035, 06/04/2019 04:07:40.833, 0.007883311, -0.0261982, 0.01215644, 2.275075, 270.9127, 2.945453
-0.5522105, 06/04/2019 04:07:40.844, 0.007882184, -0.02617578, 0.01216808, 2.25228, 270.8825, 2.928809
-0.5563722, 06/04/2019 04:07:40.855, 0.00786011, -0.02618622, 0.01220351, 2.292584, 270.8406, 2.917477
-0.5605199, 06/04/2019 04:07:40.868, 0.007838035, -0.02619836, 0.01222092, 2.258762, 270.7916, 2.876251
-0.5646538, 06/04/2019 04:07:40.878, 0.007832238, -0.02618607, 0.01223339, 2.253793, 270.7594, 2.85671
-0.5687734, 06/04/2019 04:07:40.889, 0.00781901, -0.0262134, 0.01226354, 2.209037, 270.7188, 2.844067
-0.5728788, 06/04/2019 04:07:40.900, 0.007803971, -0.02619205, 0.01228923, 2.21219, 270.6784, 2.879349
-0.5769699, 06/04/2019 04:07:40.911, 0.007796957, -0.02618531, 0.01231249, 2.214809, 270.6548, 2.855889
-0.5810466, 06/04/2019 04:07:40.922, 0.007779765, -0.02620369, 0.01234218, 2.208013, 270.6082, 2.865847
-0.5851088, 06/04/2019 04:07:40.933, 0.007765478, -0.02619706, 0.01237017, 2.212124, 270.5697, 2.839429
-0.5891563, 06/04/2019 04:07:40.944, 0.007739339, -0.02621439, 0.01238788, 2.204869, 270.5345, 2.832881
-0.5931891, 06/04/2019 04:07:40.955, 0.007721909, -0.02621802, 0.01240433, 2.221583, 270.4904, 2.829113
-0.5972071, 06/04/2019 04:07:40.966, 0.00770832, -0.02621327, 0.01243599, 2.213418, 270.4631, 2.82879
-0.6012102, 06/04/2019 04:07:40.978, 0.007694575, -0.02621753, 0.01244524, 2.260574, 270.4154, 2.840689
-0.6051982, 06/04/2019 04:07:40.988, 0.007681079, -0.02623004, 0.01247495, 2.300198, 270.3734, 2.876657
-0.6091711, 06/04/2019 04:07:40.999, 0.007666409, -0.02622754, 0.01249293, 2.29296, 270.3426, 2.857952
-0.6131287, 06/04/2019 04:07:41.010, 0.007648313, -0.02621661, 0.01251701, 2.251206, 270.3123, 2.869977
-0.617071, 06/04/2019 04:07:41.021, 0.007615844, -0.02624233, 0.01254917, 2.271985, 270.2538, 2.862917
-0.620998, 06/04/2019 04:07:41.032, 0.007590672, -0.02621169, 0.01257124, 2.244113, 270.2204, 2.870901
-0.6249093, 06/04/2019 04:07:41.044, 0.007582536, -0.02621426, 0.01259906, 2.269169, 270.1878, 2.874612
