Voltage, Timestamp, X position, Y position, Z position, X rotation, Y rotation, Z rotation
-8.742278E-07, 06/04/2019 04:09:02.054, 0.00882349, -0.02621738, 0.01097264, 2.191824, 272.901, 2.844756
0.04997944, 06/04/2019 04:09:02.099, 0.008823074, -0.02622612, 0.01096994, 2.18254, 272.9028, 2.841
0.09983482, 06/04/2019 04:09:02.101, 0.008829914, -0.02622704, 0.01097492, 2.189717, 272.8932, 2.828448
0.1494407, 06/04/2019 04:09:02.112, 0.008827114, -0.02622636, 0.01097162, 2.177933, 272.9058, 2.839181
0.198673, 06/04/2019 04:09:02.122, 0.008830513, -0.02621874, 0.01097225, 2.189684, 272.8964, 2.841045
0.2474087, 06/04/2019 04:09:02.142, 0.0088281, -0.02621546, 0.01097555, 2.186165, 272.8962, 2.804929
0.2955259, 06/04/2019 04:09:02.173, 0.008827097, -0.02626287, 0.01096041, 2.168405, 272.9132, 2.841612
0.3429045, 06/04/2019 04:09:02.188, 0.008841529, -0.02624566, 0.01095193, 2.175288, 272.9266, 2.848046
0.389426, 06/04/2019 04:09:02.190, 0.008848122, -0.02624276, 0.01095244, 2.165321, 272.9349, 2.842211
0.434974, 06/04/2019 04:09:02.212, 0.008858575, -0.02623709, 0.01094021, 2.156624, 272.9581, 2.837117
0.4794348, 06/04/2019 04:09:02.214, 0.008858575, -0.02623709, 0.01094021, 2.156624, 272.9581, 2.837117
0.5226972, 06/04/2019 04:09:02.236, 0.008875199, -0.0262484, 0.01089749, 2.141687, 273.0175, 2.840031
0.5646531, 06/04/2019 04:09:02.245, 0.008874981, -0.02624005, 0.01088667, 2.163981, 273.0104, 2.79364
0.6051975, 06/04/2019 04:09:02.262, 0.008898281, -0.02621918, 0.0108701, 2.132199, 273.0684, 2.827825
0.6442293, 06/04/2019 04:09:02.272, 0.008923532, -0.02621883, 0.01086173, 2.134148, 273.1086, 2.828862
0.6816507, 06/04/2019 04:09:02.278, 0.008928044, -0.02620486, 0.01085056, 2.124786, 273.1349, 2.827458
0.7173682, 06/04/2019 04:09:02.296, 0.008953622, -0.02618877, 0.01081325, 2.147845, 273.1945, 2.841725
0.7512926, 06/04/2019 04:09:02.300, 0.008951496, -0.02620167, 0.01080674, 2.126114, 273.202, 2.826382
0.7833391, 06/04/2019 04:09:02.313, 0.008977219, -0.02616695, 0.0107776, 2.179372, 273.239, 2.838267
0.8134276, 06/04/2019 04:09:02.322, 0.008998928, -0.02614902, 0.01076136, 2.19401, 273.2674, 2.84486
0.8414829, 06/04/2019 04:09:02.343, 0.009051405, -0.0261654, 0.01067986, 2.194868, 273.3606, 2.89149
0.8674347, 06/04/2019 04:09:02.354, 0.009062802, -0.02619009, 0.01062851, 2.204141, 273.406, 2.890917
0.8912184, 06/04/2019 04:09:02.356, 0.009062802, -0.02619009, 0.01062851, 2.204141, 273.406, 2.890917
0.9127743, 06/04/2019 04:09:02.391, 0.00912147, -0.02612636, 0.01053268, 2.33535, 273.5901, 2.885819
0.9320487, 06/04/2019 04:09:02.402, 0.009137493, -0.02614819, 0.01050399, 2.345156, 273.6282, 2.850053
0.9489934, 06/04/2019 04:09:02.418, 0.009175307, -0.026131, 0.01045716, 2.350647, 273.7249, 2.860236
0.9635659, 06/04/2019 04:09:02.428, 0.009189566, -0.02616438, 0.0104085, 2.332016, 273.7688, 2.862464
0.9757299, 06/04/2019 04:09:02.441, 0.009229047, -0.02617316, 0.01034648, 2.341337, 273.8683, 2.885463
0.985455, 06/04/2019 04:09:02.452, 0.00923514, -0.02619484, 0.01030769, 2.333487, 273.9252, 2.9361
0.9927169, 06/04/2019 04:09:02.465, 0.009258121, -0.02617406, 0.01027525, 2.33187, 273.9888, 2.888699
0.9974974, 06/04/2019 04:09:02.480, 0.009284594, -0.02620415, 0.01023431, 2.328977, 274.0468, 2.878388
0.9997845, 06/04/2019 04:09:02.496, 0.009360427, -0.0261826, 0.01014811, 2.301613, 274.1888, 2.897552
0.9995726, 06/04/2019 04:09:02.507, 0.009381277, -0.02617667, 0.01012891, 2.282747, 274.2299, 2.878702
0.9968621, 06/04/2019 04:09:02.521, 0.009412495, -0.02617891, 0.01007741, 2.256599, 274.2948, 2.851178
0.9916599, 06/04/2019 04:09:02.531, 0.009467233, -0.02629463, 0.01002854, 2.486284, 274.3654, 2.971339
0.983979, 06/04/2019 04:09:02.544, 0.009491351, -0.02617358, 0.009980775, 2.256402, 274.4698, 2.856935
0.9738384, 06/04/2019 04:09:02.567, 0.00955269, -0.02617794, 0.00989788, 2.274571, 274.5941, 2.863673
0.9612638, 06/04/2019 04:09:02.578, 0.009589834, -0.02615328, 0.009858077, 2.274511, 274.6753, 2.873181
0.9462863, 06/04/2019 04:09:02.590, 0.009620685, -0.02614144, 0.009808652, 2.284127, 274.7545, 2.866428
0.9289435, 06/04/2019 04:09:02.616, 0.009693745, -0.02612062, 0.00971327, 2.286416, 274.9007, 2.900615
0.9092788, 06/04/2019 04:09:02.626, 0.009707466, -0.0261373, 0.009687776, 2.28918, 274.9438, 2.900476
0.8873411, 06/04/2019 04:09:02.639, 0.009748538, -0.02618591, 0.009643442, 2.269943, 275.0144, 2.848254
