Voltage, Timestamp, X position, Y position, Z position, X rotation, Y rotation, Z rotation
-1.748456E-07, 06/04/2019 04:04:28.336, 0.008578988, -0.02625112, 0.0112262, 2.282887, 272.3528, 2.875601
0.009999887, 06/04/2019 04:04:28.378, 0.008586885, -0.02624528, 0.01122291, 2.292388, 272.3541, 2.870863
0.01999895, 06/04/2019 04:04:28.380, 0.008586885, -0.02624528, 0.01122291, 2.292388, 272.3541, 2.870863
0.02999601, 06/04/2019 04:04:28.386, 0.008574904, -0.02625666, 0.01121032, 2.282273, 272.3579, 2.875983
0.03999007, 06/04/2019 04:04:28.409, 0.008579041, -0.02626201, 0.01121126, 2.275005, 272.359, 2.873216
0.04998014, 06/04/2019 04:04:28.420, 0.008590524, -0.02623131, 0.01122711, 2.285189, 272.3491, 2.874985
0.0599652, 06/04/2019 04:04:28.442, 0.008588482, -0.02622093, 0.0112392, 2.288571, 272.3537, 2.846994
0.06994427, 06/04/2019 04:04:28.467, 0.008593864, -0.02624708, 0.01122951, 2.278864, 272.3558, 2.853927
0.07991634, 06/04/2019 04:04:28.480, 0.008584792, -0.02623967, 0.01122458, 2.287168, 272.3531, 2.868611
0.08988043, 06/04/2019 04:04:28.483, 0.008589506, -0.02623985, 0.01123007, 2.283536, 272.3564, 2.863201
0.09983552, 06/04/2019 04:04:28.491, 0.008587703, -0.02622802, 0.01122318, 2.295987, 272.3672, 2.870833
0.1097806, 06/04/2019 04:04:28.497, 0.008584811, -0.02621962, 0.01123137, 2.291554, 272.3576, 2.848174
0.1197148, 06/04/2019 04:04:28.514, 0.008585514, -0.02625217, 0.01122846, 2.284202, 272.3623, 2.87324
0.1296369, 06/04/2019 04:04:28.526, 0.008584194, -0.02623834, 0.01122947, 2.284399, 272.3689, 2.853526
0.1395461, 06/04/2019 04:04:28.531, 0.00858611, -0.02625427, 0.01122323, 2.2755, 272.3751, 2.889019
0.1494414, 06/04/2019 04:04:28.550, 0.00859145, -0.02621914, 0.01122963, 2.287045, 272.3724, 2.849014
0.1593217, 06/04/2019 04:04:28.560, 0.008586818, -0.02625102, 0.01121806, 2.280186, 272.3882, 2.874961
0.169186, 06/04/2019 04:04:28.563, 0.008586818, -0.02625102, 0.01121806, 2.280186, 272.3882, 2.874961
0.1790335, 06/04/2019 04:04:28.584, 0.00859201, -0.02624321, 0.01120819, 2.282271, 272.3937, 2.847389
0.188863, 06/04/2019 04:04:28.586, 0.008595035, -0.0262244, 0.01119923, 2.284893, 272.3957, 2.855544
0.1986737, 06/04/2019 04:04:28.606, 0.00860315, -0.0262327, 0.01119099, 2.282675, 272.4116, 2.875321
0.2084644, 06/04/2019 04:04:28.608, 0.008603173, -0.02623294, 0.01119149, 2.282202, 272.419, 2.874679
0.2182344, 06/04/2019 04:04:28.620, 0.008610316, -0.02622605, 0.01118806, 2.29428, 272.4267, 2.881238
0.2279825, 06/04/2019 04:04:28.642, 0.008615858, -0.02624868, 0.01117306, 2.293115, 272.4456, 2.871584
0.2377078, 06/04/2019 04:04:28.644, 0.008621026, -0.02623168, 0.01117396, 2.297279, 272.4512, 2.878467
0.2474093, 06/04/2019 04:04:28.653, 0.008623516, -0.0262608, 0.01116807, 2.29847, 272.4586, 2.848546
0.2570861, 06/04/2019 04:04:28.665, 0.008629081, -0.02622973, 0.01115822, 2.305403, 272.4746, 2.879854
0.2667372, 06/04/2019 04:04:28.675, 0.008629727, -0.0262557, 0.01115092, 2.304645, 272.4836, 2.871216
0.2763616, 06/04/2019 04:04:28.688, 0.008645406, -0.02623567, 0.01114629, 2.298101, 272.5044, 2.884387
0.2859584, 06/04/2019 04:04:28.697, 0.00864891, -0.02624941, 0.01113804, 2.295169, 272.5166, 2.881849
0.2955266, 06/04/2019 04:04:28.714, 0.008658715, -0.02624225, 0.01113198, 2.289998, 272.532, 2.881283
0.3050652, 06/04/2019 04:04:28.719, 0.008669962, -0.02623946, 0.01112334, 2.292061, 272.5466, 2.877685
0.3145733, 06/04/2019 04:04:28.737, 0.008676453, -0.02624644, 0.0111087, 2.288355, 272.5729, 2.898351
